Language,Questions,Positive,Negative,Views
python, 0.8512, 0.6390, 0.6202, 0.4634
powershell, 0.8378, 0.6001, 0.5833, 0.3319
go, 0.8324, 0.5397, 0.6377, 0.4328
r, 0.8175, 0.5972, 0.5526, 0.4224
vba, 0.7735, 0.5945, 0.5777, 0.4063
typescript, 0.7629, 0.4445, 0.6089, 0.2985
julia, 0.7481, 0.4223, 0.3782, 0.3648
rust, 0.7341, 0.4223, 0.5939, 0.3017
scala, 0.7331, 0.5079, 0.6306, 0.3135
javascript, 0.7209, 0.5700, 0.5135, 0.2036
kotlin, 0.7121, 0.4240, 0.6069, 0.3692
plsql, 0.7105, 0.3685, 0.4223, 0.1033
groovy, 0.7057, 0.4083, 0.4340, 0.3305
bash, 0.6986, 0.4974, 0.5584,-0.0551
sas, 0.6848, 0.3723, 0.5526, 0.3157
apex, 0.6832, 0.1726, 0.3034, 0.2923
swift, 0.6748, 0.3783, 0.5680, 0.1428
elixir, 0.6499, 0.3939, 0.4052, 0.2041
awk, 0.6406, 0.5041, 0.5113, 0.1960
html, 0.6332, 0.5116, 0.4655, 0.0866
dart, 0.6108, 0.4118, 0.4625, 0.3629
fortran, 0.6101, 0.5611, 0.2700, 0.2938
verilog, 0.5954, 0.4005, 0.3803, 0.3003
java, 0.5922, 0.4547, 0.4354, 0.0764
netlogo, 0.5884, 0.2920, 0.2706, 0.2859
lua, 0.5866, 0.4627, 0.3565, 0.2942
labview, 0.5783, 0.3538, 0.4049, 0.3002
sql, 0.5676, 0.4050, 0.5028,-0.0630
assembly, 0.5447, 0.4465, 0.3150, 0.1907
haskell, 0.5357, 0.4830, 0.4908, 0.3139
vhdl, 0.5290, 0.3776, 0.3007, 0.2704
php, 0.5002, 0.3893, 0.3885, 0.1175
c#, 0.4884, 0.2271, 0.4816,-0.0717
matlab, 0.4490, 0.3886, 0.2961, 0.1220
c++, 0.4482, 0.3260, 0.4665, 0.0085
ada, 0.4395, 0.3075, 0.1736, 0.3477
c, 0.4374, 0.2942, 0.3941,-0.0961
f#, 0.4069, 0.3215, 0.2066, 0.0762
common-lisp, 0.4038, 0.3769, 0.1454, 0.1519
prolog, 0.3783, 0.3585, 0.0981, 0.1652
vbscript, 0.3455, 0.2909, 0.4635, 0.0087
cobol, 0.3438, 0.0796, 0.1602, 0.0114
clojure, 0.2880, 0.3475, 0.1557, 0.0405
ruby, 0.2336, 0.1819, 0.2850,-0.1496
vb.net, 0.2038, 0.0160, 0.3762,-0.0775
erlang, 0.1846, 0.1007, 0.2329,-0.0334
scheme, 0.1776, 0.2770, 0.1525, 0.0900
coffeescript, 0.1195, 0.2725,-0.0132, 0.1286
d, 0.0440, 0.0765, 0.0186,-0.1129
perl,-0.0139, 0.0011, 0.2556,-0.2083
lisp,-0.0387,-0.0274, 0.1382,-0.1578
objective-c,-0.0960, 0.0865, 0.0221,-0.0745
delphi,-0.1266,-0.1238, 0.3025,-0.0886
.net,-0.3723,-0.3542, 0.4483,-0.3942
actionscript-3,-0.4472,-0.2879, 0.0128,-0.3107
