Language,Questions,Positive,Negative,Views
c, 0.9430, 0.8377,0.8800, 0.5634
java, 0.9300, 0.8760,0.8874, 0.6331
haskell, 0.9283, 0.8571,0.6349, 0.5208
c++, 0.9189, 0.8580,0.8856, 0.5981
vhdl, 0.8959, 0.8109,0.6849, 0.5613
matlab, 0.8937, 0.8160,0.8506, 0.6734
plsql, 0.8881, 0.8073,0.7821, 0.4571
awk, 0.8876, 0.7694,0.7765, 0.5624
bash, 0.8874, 0.8367,0.7963, 0.4227
verilog, 0.8859, 0.7808,0.7518, 0.5206
php, 0.8854, 0.8276,0.8437, 0.6391
html, 0.8804, 0.7936,0.8648, 0.5590
javascript, 0.8643, 0.7819,0.8375, 0.6113
prolog, 0.8620, 0.8161,0.5259, 0.6873
c#, 0.8601, 0.7300,0.8420, 0.4678
sql, 0.8567, 0.8310,0.8283, 0.4496
lua, 0.8424, 0.7450,0.6810, 0.5057
fortran, 0.8312, 0.6848,0.5994, 0.5179
scala, 0.8182, 0.7597,0.5785, 0.2618
common-lisp, 0.8096, 0.6941,0.5842, 0.3422
groovy, 0.8062, 0.7264,0.7401, 0.2443
vbscript, 0.7884, 0.6268,0.7557, 0.4305
f#, 0.7863, 0.6930,0.4389, 0.2350
sas, 0.7828, 0.5315,0.6107, 0.3567
ruby, 0.7551, 0.7223,0.8068, 0.5020
clojure, 0.7542, 0.7582,0.6387, 0.4951
scheme, 0.7480, 0.6599,0.6166, 0.5848
vb.net, 0.7461, 0.5315,0.8240, 0.4962
vba, 0.7181, 0.5810,0.7392, 0.5954
powershell, 0.7116, 0.6027,0.6578, 0.5218
r, 0.7070, 0.5641,0.7472, 0.5716
ada, 0.7009, 0.5053,0.3722, 0.4029
netlogo, 0.6986, 0.4457,0.3976, 0.2527
python, 0.6923, 0.6025,0.6749, 0.4278
erlang, 0.6773, 0.5239,0.5386, 0.2924
cobol, 0.6769, 0.3351,0.4731, 0.1674
go, 0.6214, 0.4770,0.4455, 0.3113
labview, 0.6049, 0.2809,0.4873, 0.1159
coffeescript, 0.5763, 0.6448,0.5245, 0.5195
julia, 0.5627, 0.2968,0.4228, 0.0506
abap, 0.5447, 0.4465,0.3150, 0.1907
apex, 0.5426, 0.3851,0.3853, 0.0236
swift, 0.5323, 0.2744,0.6410,-0.0213
rust, 0.5311, 0.2542,0.3593, 0.1015
lisp, 0.5210, 0.3504,0.6652, 0.1759
perl, 0.5040, 0.4415,0.7112, 0.1945
d, 0.4832, 0.5472,0.3102, 0.2345
elixir, 0.4783, 0.2769,0.4481,-0.0430
objective-c, 0.4503, 0.5991,0.5419, 0.4900
delphi, 0.3938, 0.3564,0.7932, 0.5032
typescript, 0.3443, 0.1293,0.3164,-0.0680
dart, 0.3434, 0.2602,0.2163,-0.1187
kotlin, 0.2061,-0.0062,0.2158,-0.0897
actionscript-3,-0.0157, 0.0635,0.5206, 0.1543
.net,-0.0560,-0.0139,0.7912,-0.0315
