language,count,positive,negative,normalized views
javascript, 0.9891, 0.9496,0.9606, 0.5597
html, 0.9801, 0.9528,0.9274, 0.7658
awk, 0.9749, 0.9379,0.9400, 0.6515
scala, 0.9609, 0.9323,0.8541,-0.2690
java, 0.9491, 0.9069,0.9204, 0.7481
plsql, 0.9451, 0.7074,0.8506, 0.7048
sas, 0.9394, 0.8101,0.8684, 0.1142
fortran, 0.9370, 0.8578,0.6338, 0.3638
vba, 0.9251, 0.8210,0.9347, 0.4744
groovy, 0.9243, 0.8504,0.8408,-0.0701
lua, 0.9095, 0.9066,0.7657, 0.4695
powershell, 0.9085, 0.8132,0.9044, 0.2764
sql, 0.9048, 0.8359,0.9147, 0.7760
verilog, 0.8979, 0.8138,0.8133, 0.2159
haskell, 0.8974, 0.9232,0.8108, 0.2154
matlab, 0.8951, 0.9125,0.7631, 0.6899
php, 0.8945, 0.8439,0.8256, 0.7320
r, 0.8922, 0.7997,0.9397, 0.1348
assembly, 0.8874, 0.8367,0.7963, 0.4227
vhdl, 0.8854, 0.8189,0.7409, 0.3910
python, 0.8617, 0.7923,0.9217, 0.0790
c++, 0.8577, 0.7918,0.9482, 0.7853
netlogo, 0.8481, 0.6927,0.4396,-0.2923
c, 0.8428, 0.7272,0.9095, 0.8020
c#, 0.8403, 0.6272,0.9239, 0.8380
go, 0.8332, 0.7506,0.7829,-0.2024
vbscript, 0.7927, 0.6646,0.7805, 0.6386
julia, 0.7749, 0.5517,0.5933,-0.4972
f#, 0.7675, 0.7394,0.3749, 0.0262
apex, 0.7574, 0.6367,0.5881,-0.3865
swift, 0.7501, 0.5275,0.8900,-0.4114
rust, 0.7454, 0.5092,0.6490,-0.4337
common-lisp, 0.7326, 0.6801,0.4336, 0.3187
prolog, 0.7109, 0.7562,0.3113, 0.3382
labview, 0.7051, 0.4246,0.5530, 0.1039
abap, 0.6986, 0.4974,0.5584,-0.0551
elixir, 0.6906, 0.4838,0.6357,-0.5088
ruby, 0.6820, 0.6349,0.8057, 0.7885
clojure, 0.6807, 0.7385,0.5925, 0.5189
vb.net, 0.6636, 0.4007,0.8259, 0.8357
ada, 0.6438, 0.4397,0.3819, 0.0982
cobol, 0.6335, 0.2963,0.4255, 0.1815
typescript, 0.5501, 0.2947,0.6381,-0.5021
erlang, 0.5472, 0.3870,0.5152, 0.3831
scheme, 0.5144, 0.4493,0.4434, 0.5012
coffeescript, 0.4725, 0.6081,0.3388, 0.6360
dart, 0.4315, 0.3706,0.4018,-0.3713
d, 0.3938, 0.5261,0.3284, 0.3555
kotlin, 0.3635, 0.1058,0.5557,-0.4854
perl, 0.3469, 0.2650,0.6280, 0.6698
objective-c, 0.2725, 0.4566,0.2846, 0.7310
lisp, 0.2584, 0.0812,0.5060, 0.3951
delphi, 0.1864, 0.0933,0.7402, 0.7507
actionscript-3,-0.2780,-0.2472,0.3220, 0.6349
.net,-0.2960,-0.3017,0.8072, 0.5622
