"","language","count","positive","negative","normalized views"
"2","c++","0.9834"," 0.9757","0.9745"," 0.9247"
"1","java","0.9499"," 0.9025","0.9543"," 0.7920"
"8","php","0.9493"," 0.8570","0.9088"," 0.7202"
"9","assembly","0.9430"," 0.8377","0.8800"," 0.5634"
"38","haskell","0.9416"," 0.8114","0.7181"," 0.3688"
"5","c#","0.9399"," 0.9336","0.9332"," 0.8839"
"13","matlab","0.9349"," 0.8355","0.8893"," 0.7705"
"7","sql","0.9004"," 0.9124","0.9094"," 0.8712"
"54","vb.net","0.8985"," 0.8355","0.9086"," 0.8681"
"14","ruby","0.8982"," 0.9394","0.9161"," 0.8725"
"55","vbscript","0.8808"," 0.7179","0.7996"," 0.7013"
"43","html","0.8805"," 0.7087","0.9423"," 0.7255"
"27","lua","0.8794"," 0.7064","0.7823"," 0.4398"
"39","clojure","0.8737"," 0.8827","0.6964"," 0.6587"
"44","vhdl","0.8644"," 0.7184","0.7907"," 0.3497"
"37","awk","0.8609"," 0.6409","0.8991"," 0.7032"
"49","common-lisp","0.8460"," 0.7432","0.6036"," 0.3871"
"41","bash","0.8428"," 0.7272","0.9095"," 0.8020"
"52","plsql","0.8366"," 0.8234","0.8769"," 0.7051"
"22","fortran","0.8339"," 0.6236","0.6692"," 0.3933"
"6","javascript","0.8270"," 0.6358","0.9258"," 0.5124"
"25","prolog","0.8151"," 0.6699","0.4405"," 0.5101"
"30","f#","0.8066"," 0.5475","0.4967"," 0.1902"
"45","verilog","0.8015"," 0.7258","0.8317"," 0.2098"
"33","scheme","0.7804"," 0.7814","0.6006"," 0.6838"
"40","erlang","0.7756"," 0.6983","0.5479"," 0.4291"
"16","groovy","0.7705"," 0.6748","0.8104","-0.2202"
"48","coffeescript","0.7529"," 0.8517","0.5385"," 0.6197"
"24","scala","0.7328"," 0.5918","0.6621","-0.3505"
"29","ada","0.7167"," 0.5664","0.4657"," 0.2395"
"12","perl","0.7077"," 0.7715","0.7720"," 0.7912"
"20","sas","0.7042"," 0.4134","0.7614"," 0.0420"
"10","objective-c","0.6655"," 0.8860","0.5414"," 0.7643"
"47","cobol","0.6608"," 0.3117","0.5140"," 0.2667"
"50","d","0.6330"," 0.7241","0.3709"," 0.4582"
"51","netlogo","0.6285"," 0.2463","0.4372","-0.2590"
"26","lisp","0.6261"," 0.6258","0.6775"," 0.5707"
"15","vba","0.6132"," 0.3281","0.8129"," 0.4340"
"53","powershell","0.5908"," 0.3338","0.7569"," 0.2389"
"11","delphi","0.5870"," 0.6599","0.8538"," 0.8457"
"19","r","0.5729"," 0.2713","0.8315"," 0.1295"
"34","labview","0.5575"," 0.1920","0.5396"," 0.0056"
"3","python","0.5571"," 0.3057","0.7589"," 0.0241"
"18","go","0.4732"," 0.1827","0.5383","-0.2846"
"31","apex","0.4600"," 0.2688","0.4598","-0.4242"
"21","abap","0.4374"," 0.2942","0.3941","-0.0961"
"36","julia","0.3927","-0.0675","0.4962","-0.4877"
"28","rust","0.3765","-0.0739","0.4028","-0.3961"
"17","swift","0.3758","-0.0285","0.7296","-0.4946"
"42","elixir","0.2907","-0.0740","0.5122","-0.5783"
"23","dart","0.2816"," 0.1221","0.1986","-0.3292"
"46","actionscript-3","0.1952"," 0.3873","0.5472"," 0.7487"
"35","typescript","0.1391","-0.2745","0.3681","-0.6090"
"4",".net","0.1326"," 0.3424","0.8560"," 0.6468"
"32","kotlin","0.0309","-0.3508","0.2829","-0.5139"
