"","language","count","positive","negative","normalized views"
"46","verilog"," 0.6800"," 0.4006","0.4257"," 0.1205"
"10","assembly"," 0.6769"," 0.3351","0.4731"," 0.1674"
"1","java"," 0.6715"," 0.3173","0.4471"," 0.2790"
"2","c"," 0.6608"," 0.3117","0.5140"," 0.2667"
"39","haskell"," 0.6585"," 0.3087","0.4118"," 0.2397"
"14","matlab"," 0.6472"," 0.3126","0.4349"," 0.2359"
"3","c++"," 0.6431"," 0.3026","0.4830"," 0.2885"
"42","bash"," 0.6335"," 0.2963","0.4255"," 0.1815"
"44","html"," 0.6303"," 0.2623","0.4329"," 0.1884"
"38","awk"," 0.6291"," 0.2839","0.3754"," 0.2848"
"28","lua"," 0.6266"," 0.2882","0.4135"," 0.0983"
"45","vhdl"," 0.6242"," 0.3124","0.4263"," 0.0845"
"9","php"," 0.6224"," 0.2473","0.4339"," 0.2855"
"8","sql"," 0.6184"," 0.2809","0.4065"," 0.2139"
"7","javascript"," 0.6138"," 0.2532","0.4220"," 0.1365"
"17","groovy"," 0.6087"," 0.2687","0.3456","-0.0228"
"6","c#"," 0.6073"," 0.2451","0.4279"," 0.2281"
"23","fortran"," 0.6037"," 0.2344","0.4047"," 0.0736"
"30","ada"," 0.5976"," 0.2942","0.3393"," 0.3283"
"51","netlogo"," 0.5808"," 0.2716","0.3770"," 0.0310"
"52","plsql"," 0.5757"," 0.1953","0.4230"," 0.1526"
"21","sas"," 0.5725"," 0.2519","0.3475"," 0.0739"
"31","f#"," 0.5689"," 0.2240","0.3278"," 0.1978"
"25","scala"," 0.5652"," 0.2418","0.3366","-0.0788"
"55","vbscript"," 0.5620"," 0.2272","0.3170"," 0.2432"
"26","prolog"," 0.5602"," 0.3230","0.1181"," 0.2870"
"54","vb.net"," 0.5527"," 0.2551","0.4163"," 0.2220"
"15","ruby"," 0.5346"," 0.2508","0.4469"," 0.2958"
"49","common-lisp"," 0.5301"," 0.2473","0.3267"," 0.1131"
"40","clojure"," 0.5251"," 0.2390","0.4208"," 0.2867"
"41","erlang"," 0.5121"," 0.1619","0.2964"," 0.1232"
"53","powershell"," 0.5073"," 0.1631","0.3640"," 0.1724"
"20","r"," 0.5056"," 0.2007","0.4069"," 0.1433"
"32","apex"," 0.4985"," 0.2616","0.2093","-0.0564"
"34","scheme"," 0.4982"," 0.2744","0.2959"," 0.2073"
"16","vba"," 0.4978"," 0.1605","0.3858"," 0.1449"
"4","python"," 0.4895"," 0.1825","0.3685"," 0.0543"
"19","go"," 0.4702"," 0.2015","0.2016"," 0.0142"
"37","julia"," 0.4587"," 0.1499","0.2366","-0.0261"
"50","d"," 0.4440"," 0.2415","0.1638"," 0.2180"
"29","rust"," 0.4172"," 0.1268","0.2590","-0.0270"
"35","labview"," 0.4097"," 0.0165","0.1841","-0.1195"
"18","swift"," 0.4005"," 0.1002","0.3219","-0.1475"
"48","coffeescript"," 0.3985"," 0.2036","0.2589"," 0.2203"
"24","dart"," 0.3668"," 0.2483","0.0983"," 0.0282"
"22","abap"," 0.3438"," 0.0796","0.1602"," 0.0114"
"13","perl"," 0.3427"," 0.1284","0.3200"," 0.2146"
"11","objective-c"," 0.3248"," 0.1934","0.2616"," 0.2087"
"43","elixir"," 0.3075"," 0.0685","0.2561","-0.1181"
"27","lisp"," 0.3021"," 0.1229","0.2844"," 0.0997"
"12","delphi"," 0.2546"," 0.0744","0.4136"," 0.2673"
"36","typescript"," 0.2279","-0.0013","0.1739","-0.2224"
"33","kotlin"," 0.1697","-0.0469","0.1418","-0.1004"
"47","actionscript-3","-0.0133"," 0.0061","0.2397"," 0.2041"
"5",".net","-0.0417","-0.0192","0.4150"," 0.0868"
