"","language","count","positive","negative","normalized views"
"15","ruby"," 0.8953"," 0.8840"," 0.5357"," 0.7208"
"11","objective-c"," 0.8905"," 0.8809"," 0.7709"," 0.7423"
"13","perl"," 0.8902"," 0.7706"," 0.5912"," 0.4501"
"54","vb.net"," 0.8884"," 0.8033"," 0.6276"," 0.6456"
"40","clojure"," 0.8275"," 0.8246"," 0.3210"," 0.4797"
"12","delphi"," 0.7860"," 0.6653"," 0.6537"," 0.6471"
"55","vbscript"," 0.7857"," 0.6259"," 0.4079"," 0.6168"
"6","c#"," 0.7770"," 0.8351"," 0.4756"," 0.7032"
"3","c++"," 0.7761"," 0.8451"," 0.4696"," 0.6390"
"9","php"," 0.7562"," 0.6981"," 0.6130"," 0.7348"
"2","c"," 0.7529"," 0.8517"," 0.5385"," 0.6197"
"50","d"," 0.7164"," 0.7235"," 0.1693"," 0.3623"
"14","matlab"," 0.7160"," 0.7298"," 0.6314"," 0.7152"
"41","erlang"," 0.6967"," 0.5626"," 0.2939"," 0.4055"
"8","sql"," 0.6805"," 0.8140"," 0.4788"," 0.6114"
"39","haskell"," 0.6716"," 0.6986"," 0.1803"," 0.2814"
"1","java"," 0.6708"," 0.7724"," 0.5155"," 0.7611"
"28","lua"," 0.6638"," 0.6173"," 0.5148"," 0.5554"
"49","common-lisp"," 0.5975"," 0.5932"," 0.3511"," 0.1799"
"27","lisp"," 0.5870"," 0.5492"," 0.4381"," 0.1061"
"34","scheme"," 0.5766"," 0.6335"," 0.5024"," 0.3474"
"10","assembly"," 0.5763"," 0.6448"," 0.5245"," 0.5195"
"44","html"," 0.5696"," 0.5629"," 0.4991"," 0.7340"
"47","actionscript-3"," 0.5464"," 0.4069"," 0.5569"," 0.4627"
"38","awk"," 0.5394"," 0.5408"," 0.3612"," 0.5991"
"23","fortran"," 0.5338"," 0.5175"," 0.4493"," 0.4493"
"45","vhdl"," 0.5193"," 0.5674"," 0.3468"," 0.4928"
"30","ada"," 0.4863"," 0.4787"," 0.2670"," 0.1818"
"42","bash"," 0.4725"," 0.6081"," 0.3388"," 0.6360"
"52","plsql"," 0.4719"," 0.6636"," 0.4174"," 0.6561"
"7","javascript"," 0.4628"," 0.4903"," 0.3995"," 0.6516"
"26","prolog"," 0.4625"," 0.4535"," 0.5884"," 0.4587"
"31","f#"," 0.4570"," 0.3012"," 0.3702","-0.0642"
"5",".net"," 0.4315"," 0.3499"," 0.5470"," 0.2467"
"17","groovy"," 0.4292"," 0.5905"," 0.3985"," 0.1248"
"48","cobol"," 0.3985"," 0.2036"," 0.2589"," 0.2203"
"46","verilog"," 0.3673"," 0.6128"," 0.3516"," 0.2989"
"25","scala"," 0.3113"," 0.4375"," 0.0053"," 0.0219"
"21","sas"," 0.2910"," 0.3040"," 0.1792"," 0.2130"
"35","labview"," 0.2614"," 0.1301"," 0.1625"," 0.1337"
"51","netlogo"," 0.1947"," 0.1014"," 0.2393","-0.1302"
"16","vba"," 0.1656"," 0.1955"," 0.2371"," 0.5734"
"53","powershell"," 0.1381"," 0.2057"," 0.1120"," 0.4842"
"22","abap"," 0.1195"," 0.2725","-0.0132"," 0.1286"
"20","r"," 0.1001"," 0.1311"," 0.1927"," 0.4070"
"4","python"," 0.0766"," 0.1429"," 0.1191"," 0.1941"
"32","apex"," 0.0644"," 0.1770"," 0.0442","-0.1258"
"24","dart"," 0.0335"," 0.0887","-0.1093","-0.2570"
"19","go","-0.0045"," 0.0615","-0.0788"," 0.0613"
"18","swift","-0.1028","-0.1772"," 0.0358","-0.2068"
"37","julia","-0.1043","-0.2112","-0.0459","-0.2933"
"29","rust","-0.1064","-0.2306","-0.1551","-0.2798"
"43","elixir","-0.1999","-0.2318","-0.0913","-0.3200"
"36","typescript","-0.3260","-0.3880","-0.2070","-0.3653"
"33","kotlin","-0.3469","-0.4193","-0.2273","-0.3656"
