"","language","count","positive","negative","normalized views"
"2","c","0.8460"," 0.7432"," 0.6036"," 0.3871"
"3","c++","0.8271"," 0.7377"," 0.5624"," 0.4501"
"10","assembly","0.8096"," 0.6941"," 0.5842"," 0.3422"
"39","haskell","0.8069"," 0.7162"," 0.3828"," 0.6137"
"1","java","0.8007"," 0.7450"," 0.5337"," 0.2893"
"9","php","0.7968"," 0.6899"," 0.5308"," 0.2667"
"6","c#","0.7848"," 0.6367"," 0.5138"," 0.3023"
"14","matlab","0.7735"," 0.6929"," 0.5914"," 0.2191"
"44","html","0.7573"," 0.6651"," 0.5214"," 0.2494"
"15","ruby","0.7441"," 0.6547"," 0.5525"," 0.3021"
"28","lua","0.7328"," 0.6578"," 0.4360"," 0.3664"
"42","bash","0.7326"," 0.6801"," 0.4336"," 0.3187"
"45","vhdl","0.7284"," 0.5614"," 0.3899"," 0.1662"
"31","f#","0.7269"," 0.5171"," 0.3605"," 0.4638"
"38","awk","0.7263"," 0.6001"," 0.4378"," 0.3071"
"8","sql","0.7260"," 0.6992"," 0.4723"," 0.2814"
"23","fortran","0.7257"," 0.6295"," 0.3323"," 0.3534"
"54","vb.net","0.7255"," 0.4702"," 0.5745"," 0.2351"
"55","vbscript","0.7205"," 0.5278"," 0.5217"," 0.0644"
"7","javascript","0.7193"," 0.6321"," 0.4955"," 0.2791"
"40","clojure","0.7121"," 0.6401"," 0.4191"," 0.3118"
"52","plsql","0.7121"," 0.6555"," 0.5111"," 0.1709"
"46","verilog","0.6886"," 0.6296"," 0.4379"," 0.1847"
"27","lisp","0.6849"," 0.5320"," 0.8636"," 0.6116"
"26","prolog","0.6816"," 0.5796"," 0.3434"," 0.4012"
"34","scheme","0.6743"," 0.5184"," 0.5912"," 0.3302"
"17","groovy","0.6552"," 0.6048"," 0.3901","-0.0590"
"25","scala","0.6546"," 0.5893"," 0.2584"," 0.0309"
"41","erlang","0.6425"," 0.4384"," 0.2931"," 0.1893"
"21","sas","0.6311"," 0.4958"," 0.3296"," 0.0732"
"49","coffeescript","0.5975"," 0.5932"," 0.3511"," 0.1799"
"30","ada","0.5780"," 0.4312"," 0.3511"," 0.4175"
"50","d","0.5626"," 0.5640"," 0.1464"," 0.4434"
"16","vba","0.5546"," 0.4478"," 0.3913"," 0.1601"
"13","perl","0.5531"," 0.4586"," 0.4765"," 0.2522"
"51","netlogo","0.5409"," 0.3443"," 0.3662"," 0.2420"
"53","powershell","0.5302"," 0.4478"," 0.2980"," 0.0982"
"48","cobol","0.5301"," 0.2473"," 0.3267"," 0.1131"
"35","labview","0.5274"," 0.3233"," 0.4335"," 0.1713"
"11","objective-c","0.5118"," 0.5524"," 0.4138"," 0.1501"
"20","r","0.5058"," 0.4145"," 0.4473"," 0.1907"
"4","python","0.4923"," 0.4373"," 0.3243"," 0.2506"
"12","delphi","0.4792"," 0.3451"," 0.4633"," 0.3875"
"19","go","0.4342"," 0.3536"," 0.1256"," 0.0180"
"22","abap","0.4038"," 0.3769"," 0.1454"," 0.1519"
"18","swift","0.3930"," 0.1924"," 0.3442","-0.1287"
"29","rust","0.3737"," 0.1835"," 0.0474"," 0.2370"
"37","julia","0.3677"," 0.1620"," 0.4047"," 0.1153"
"32","apex","0.3568"," 0.2951"," 0.0748","-0.0476"
"43","elixir","0.3261"," 0.1312"," 0.2162","-0.0130"
"24","dart","0.1828"," 0.2107","-0.0188"," 0.1272"
"36","typescript","0.1469","-0.0215"," 0.0066","-0.0916"
"47","actionscript-3","0.0948"," 0.0525"," 0.5228"," 0.1728"
"5",".net","0.0723"," 0.0384"," 0.4602"," 0.1780"
"33","kotlin","0.0193","-0.1028","-0.0479"," 0.0509"
