"","language","count","positive","negative","normalized views"
"9","php","0.8132"," 0.7237"," 0.4523"," 0.0658"
"38","haskell","0.8129"," 0.6845"," 0.4246"," 0.6782"
"3","c++","0.8106"," 0.6035"," 0.4799"," 0.3006"
"1","java","0.8097"," 0.6858"," 0.4173"," 0.0835"
"2","c","0.8066"," 0.5475"," 0.4967"," 0.1902"
"6","c#","0.7978"," 0.5062"," 0.4106"," 0.0617"
"43","html","0.7947"," 0.7618"," 0.4077"," 0.0294"
"10","assembly","0.7863"," 0.6930"," 0.4389"," 0.2350"
"7","javascript","0.7749"," 0.7736"," 0.3789"," 0.1156"
"14","matlab","0.7694"," 0.6033"," 0.4294"," 0.0387"
"41","bash","0.7675"," 0.7394"," 0.3749"," 0.0262"
"28","lua","0.7572"," 0.6621"," 0.3668"," 0.1554"
"23","fortran","0.7514"," 0.6161"," 0.4111"," 0.2720"
"17","groovy","0.7465"," 0.7141"," 0.3085","-0.0324"
"37","awk","0.7465"," 0.6557"," 0.3659"," 0.1827"
"25","scala","0.7462"," 0.7818"," 0.1849"," 0.0781"
"52","plsql","0.7441"," 0.5578"," 0.4315"," 0.0470"
"15","ruby","0.7291"," 0.4569"," 0.4222"," 0.0721"
"49","common-lisp","0.7269"," 0.5171"," 0.3605"," 0.4638"
"44","vhdl","0.7266"," 0.5753"," 0.4106","-0.0559"
"39","clojure","0.7229"," 0.5501"," 0.4209"," 0.3470"
"8","sql","0.7209"," 0.6013"," 0.4065"," 0.0226"
"45","verilog","0.7209"," 0.5319"," 0.5218"," 0.0011"
"55","vbscript","0.6970"," 0.4359"," 0.3065","-0.0457"
"21","sas","0.6954"," 0.5454"," 0.2370","-0.0048"
"40","erlang","0.6862"," 0.4152"," 0.2339"," 0.1900"
"54","vb.net","0.6806"," 0.2358"," 0.4774","-0.0084"
"26","prolog","0.6510"," 0.5929"," 0.2171"," 0.3527"
"16","vba","0.6377"," 0.6692"," 0.3057","-0.0032"
"53","powershell","0.6118"," 0.6771"," 0.1951","-0.0533"
"51","netlogo","0.6074"," 0.5206"," 0.2498"," 0.3388"
"20","r","0.5806"," 0.6376"," 0.2624"," 0.1889"
"33","scheme","0.5767"," 0.2891"," 0.3785"," 0.3571"
"47","cobol","0.5689"," 0.2240"," 0.3278"," 0.1978"
"4","python","0.5634"," 0.6882"," 0.2599"," 0.2820"
"30","ada","0.5445"," 0.3367"," 0.3879"," 0.5263"
"18","swift","0.5364"," 0.5372"," 0.2278","-0.0798"
"19","go","0.5262"," 0.6130"," 0.2007"," 0.0850"
"36","julia","0.5092"," 0.5700"," 0.1597"," 0.3445"
"13","perl","0.4855"," 0.1817"," 0.4445"," 0.1747"
"29","rust","0.4845"," 0.4759"," 0.1919"," 0.4105"
"42","elixir","0.4809"," 0.5799"," 0.0350"," 0.1352"
"27","lisp","0.4796"," 0.0733"," 0.3395"," 0.2436"
"34","labview","0.4762"," 0.3351"," 0.3222"," 0.0107"
"31","apex","0.4584"," 0.4872","-0.0108"," 0.1056"
"11","objective-c","0.4578"," 0.2874"," 0.4315","-0.1046"
"48","coffeescript","0.4570"," 0.3012"," 0.3702","-0.0642"
"50","d","0.4522"," 0.3021"," 0.2582"," 0.2579"
"12","delphi","0.4278"," 0.0804"," 0.4565"," 0.2075"
"22","abap","0.4069"," 0.3215"," 0.2066"," 0.0762"
"35","typescript","0.2424"," 0.4015"," 0.0481"," 0.1469"
"24","dart","0.1576"," 0.1603"," 0.1481"," 0.3179"
"5",".net","0.0703","-0.1766"," 0.4333","-0.0304"
"46","actionscript-3","0.0658","-0.1420"," 0.3480"," 0.0498"
"32","kotlin","0.0611"," 0.1367"," 0.0554"," 0.2552"
