"","language","count","positive","negative","normalized views"
"19","r"," 0.9760"," 0.9411"," 0.8053"," 0.7806"
"53","powershell"," 0.9739"," 0.9079"," 0.8608"," 0.6389"
"4","python"," 0.9732"," 0.9173"," 0.9272"," 0.7227"
"36","julia"," 0.9591"," 0.9070"," 0.6043"," 0.6936"
"16","vba"," 0.9498"," 0.9138"," 0.8356"," 0.5389"
"28","rust"," 0.9422"," 0.8657"," 0.8987"," 0.6590"
"18","swift"," 0.8978"," 0.8504"," 0.8738"," 0.5743"
"24","scala"," 0.8882"," 0.8325"," 0.9201"," 0.7917"
"20","sas"," 0.8840"," 0.8379"," 0.7270"," 0.7018"
"35","typescript"," 0.8716"," 0.7021"," 0.9398"," 0.5849"
"31","apex"," 0.8565"," 0.7060"," 0.5348"," 0.6663"
"42","elixir"," 0.8488"," 0.7846"," 0.6557"," 0.6176"
"7","javascript"," 0.8443"," 0.8241"," 0.7128"," 0.4472"
"41","bash"," 0.8332"," 0.7506"," 0.7829","-0.2024"
"21","abap"," 0.8324"," 0.5397"," 0.6377"," 0.4328"
"51","netlogo"," 0.8216"," 0.8157"," 0.3019"," 0.7115"
"17","groovy"," 0.8079"," 0.6475"," 0.6181"," 0.6973"
"52","plsql"," 0.7960"," 0.3446"," 0.5239","-0.0998"
"37","awk"," 0.7626"," 0.7325"," 0.6810"," 0.1378"
"45","verilog"," 0.7594"," 0.5281"," 0.6136"," 0.5343"
"43","html"," 0.7531"," 0.7584"," 0.6037"," 0.1444"
"32","kotlin"," 0.7399"," 0.5176"," 0.9133"," 0.4110"
"22","fortran"," 0.7257"," 0.7193"," 0.3808"," 0.4220"
"1","java"," 0.6677"," 0.5208"," 0.5962"," 0.1250"
"34","labview"," 0.6657"," 0.4432"," 0.4582"," 0.2841"
"44","vhdl"," 0.6553"," 0.5516"," 0.4528"," 0.4288"
"27","lua"," 0.6387"," 0.6850"," 0.4810"," 0.3107"
"23","dart"," 0.6326"," 0.5364"," 0.7332"," 0.2844"
"8","sql"," 0.6275"," 0.3951"," 0.6551","-0.2515"
"10","assembly"," 0.6214"," 0.4770"," 0.4455"," 0.3113"
"38","haskell"," 0.6021"," 0.6330"," 0.7561"," 0.3111"
"14","matlab"," 0.5493"," 0.5711"," 0.3266"," 0.1255"
"9","php"," 0.5410"," 0.4658"," 0.4596"," 0.1900"
"30","f#"," 0.5262"," 0.6130"," 0.2007"," 0.0850"
"3","c++"," 0.4800"," 0.2777"," 0.6417","-0.1318"
"6","c#"," 0.4799"," 0.0645"," 0.6345","-0.2467"
"25","prolog"," 0.4786"," 0.5393"," 0.0240"," 0.2352"
"2","c"," 0.4732"," 0.1827"," 0.5383","-0.2846"
"47","cobol"," 0.4702"," 0.2015"," 0.2016"," 0.0142"
"29","ada"," 0.4689"," 0.1706"," 0.2213"," 0.3343"
"49","common-lisp"," 0.4342"," 0.3536"," 0.1256"," 0.0180"
"55","vbscript"," 0.3909"," 0.3020"," 0.5213","-0.1185"
"39","clojure"," 0.2525"," 0.2733"," 0.3175","-0.0144"
"15","ruby"," 0.2155"," 0.0637"," 0.4022","-0.2186"
"54","vb.net"," 0.1951","-0.2007"," 0.4475","-0.2273"
"40","erlang"," 0.1584","-0.0329"," 0.2291","-0.0760"
"33","scheme"," 0.1581","-0.0168"," 0.1102","-0.0966"
"48","coffeescript","-0.0045"," 0.0615","-0.0788"," 0.0613"
"50","d","-0.0088"," 0.0740"," 0.1946","-0.1752"
"26","lisp","-0.1318","-0.4202"," 0.1584","-0.4596"
"13","perl","-0.1530","-0.3223"," 0.1946","-0.6008"
"11","objective-c","-0.2342","-0.1565","-0.1787","-0.1481"
"12","delphi","-0.2776","-0.4815"," 0.3500","-0.2478"
"5",".net","-0.6143","-0.7729"," 0.5140","-0.7555"
"46","actionscript-3","-0.6678","-0.7257","-0.1153","-0.6868"
