language,count,positive,negative,normalized views
java,0.9598, 0.9319,0.6944, 0.4119
c++,0.9421, 0.8496,0.7641, 0.5064
c,0.9416, 0.8114,0.7181, 0.3688
php,0.9403, 0.8571,0.6096, 0.4249
assembly,0.9283, 0.8571,0.6349, 0.5208
matlab,0.9202, 0.9094,0.5296, 0.3767
html,0.9175, 0.8955,0.6766, 0.3278
c#,0.9150, 0.7000,0.6864, 0.2786
bash,0.8974, 0.9232,0.8108, 0.2154
awk,0.8943, 0.8448,0.7132, 0.4835
javascript,0.8901, 0.8782,0.7346, 0.4508
sql,0.8885, 0.8473,0.7029, 0.2234
lua,0.8884, 0.8666,0.5443, 0.4597
plsql,0.8739, 0.7615,0.5623, 0.2763
groovy,0.8718, 0.8798,0.6541, 0.1785
fortran,0.8701, 0.8215,0.3652, 0.6421
vhdl,0.8652, 0.7880,0.6583, 0.3031
ruby,0.8457, 0.7429,0.5846, 0.3234
vbscript,0.8423, 0.6572,0.5572, 0.1159
verilog,0.8292, 0.8008,0.7188, 0.3092
scala,0.8275, 0.8734,0.7758, 0.2707
clojure,0.8211, 0.7919,0.4526, 0.5068
prolog,0.8169, 0.7941,0.2417, 0.6645
f#,0.8129, 0.6845,0.4246, 0.6782
common-lisp,0.8069, 0.7162,0.3828, 0.6137
vb.net,0.8061, 0.4821,0.5731, 0.2081
sas,0.7803, 0.7391,0.6621, 0.3139
erlang,0.7461, 0.5005,0.4030, 0.3160
netlogo,0.7222, 0.6370,0.3655, 0.4840
ada,0.7146, 0.5187,0.3628, 0.6640
vba,0.7140, 0.6823,0.7409, 0.3847
powershell,0.7024, 0.6820,0.7223, 0.3266
scheme,0.6860, 0.5472,0.4158, 0.4532
r,0.6835, 0.6800,0.7607, 0.5583
coffeescript,0.6716, 0.6986,0.1803, 0.2814
cobol,0.6585, 0.3087,0.4118, 0.2397
python,0.6554, 0.6754,0.8041, 0.5275
labview,0.6125, 0.3781,0.4707, 0.2035
go,0.6021, 0.6330,0.7561, 0.3111
d,0.5989, 0.6346,0.2627, 0.4278
perl,0.5780, 0.3926,0.3618, 0.1520
objective-c,0.5665, 0.6078,0.1177, 0.2108
apex,0.5624, 0.5856,0.4765, 0.2010
abap,0.5357, 0.4830,0.4908, 0.3139
julia,0.5352, 0.4061,0.4892, 0.3895
swift,0.5281, 0.4103,0.7245,-0.0055
rust,0.5188, 0.3892,0.6630, 0.4797
lisp,0.5049, 0.2211,0.4101, 0.2301
delphi,0.4816, 0.2621,0.5087, 0.4673
elixir,0.4398, 0.3150,0.6056, 0.1238
dart,0.2850, 0.3472,0.4665, 0.3575
typescript,0.2724, 0.1326,0.6577, 0.1156
kotlin,0.1323, 0.0089,0.6128, 0.2771
actionscript-3,0.0481,-0.0849,0.2189, 0.0901
.net,0.0030,-0.1545,0.6010,-0.1211
