"","language","count","positive","negative","normalized views"
"7","javascript"," 0.9845"," 0.9858","0.9846"," 0.8717"
"42","bash"," 0.9801"," 0.9528","0.9274"," 0.7658"
"1","java"," 0.9748"," 0.9233","0.9875"," 0.9326"
"38","awk"," 0.9704"," 0.8616","0.9226"," 0.7607"
"23","fortran"," 0.9496"," 0.8741","0.6953"," 0.5590"
"28","lua"," 0.9483"," 0.8892","0.8359"," 0.6871"
"9","php"," 0.9460"," 0.9056","0.9512"," 0.9239"
"14","matlab"," 0.9382"," 0.8930","0.8964"," 0.8430"
"25","scala"," 0.9365"," 0.9577","0.7333"," 0.0548"
"52","plsql"," 0.9337"," 0.7202","0.9027"," 0.6980"
"8","sql"," 0.9334"," 0.8045","0.9768"," 0.7898"
"39","haskell"," 0.9175"," 0.8955","0.6766"," 0.3278"
"21","sas"," 0.9161"," 0.8138","0.8103"," 0.4329"
"3","c++"," 0.9062"," 0.7836","0.9671"," 0.7975"
"17","groovy"," 0.9031"," 0.8381","0.8658"," 0.1777"
"44","vhdl"," 0.8984"," 0.8103","0.7153"," 0.6452"
"6","c#"," 0.8963"," 0.6486","0.9839"," 0.8583"
"2","c"," 0.8805"," 0.7087","0.9423"," 0.7255"
"10","assembly"," 0.8804"," 0.7936","0.8648"," 0.5590"
"16","vba"," 0.8769"," 0.8510","0.8958"," 0.7860"
"45","verilog"," 0.8684"," 0.7806","0.7960"," 0.4965"
"55","vbscript"," 0.8630"," 0.7269","0.8581"," 0.7168"
"53","powershell"," 0.8449"," 0.8335","0.8238"," 0.6047"
"20","r"," 0.8220"," 0.7964","0.8978"," 0.4795"
"51","netlogo"," 0.8160"," 0.6959","0.4192","-0.0537"
"31","f#"," 0.7947"," 0.7618","0.4077"," 0.0294"
"4","python"," 0.7842"," 0.7908","0.8262"," 0.3703"
"15","ruby"," 0.7776"," 0.6463","0.9003"," 0.8274"
"54","vb.net"," 0.7623"," 0.3957","0.9231"," 0.8305"
"49","common-lisp"," 0.7573"," 0.6651","0.5214"," 0.2494"
"40","clojure"," 0.7565"," 0.7328","0.6038"," 0.5886"
"19","go"," 0.7531"," 0.7584","0.6037"," 0.1444"
"26","prolog"," 0.7089"," 0.7338","0.4331"," 0.4522"
"32","apex"," 0.7016"," 0.6239","0.5293","-0.1164"
"35","labview"," 0.6896"," 0.4633","0.5324"," 0.1804"
"37","julia"," 0.6886"," 0.5794","0.5261","-0.2863"
"18","swift"," 0.6869"," 0.6112","0.7745","-0.2298"
"29","rust"," 0.6656"," 0.5415","0.4740","-0.2456"
"30","ada"," 0.6370"," 0.3766","0.3740"," 0.1661"
"22","abap"," 0.6332"," 0.5116","0.4655"," 0.0866"
"47","cobol"," 0.6303"," 0.2623","0.4329"," 0.1884"
"41","erlang"," 0.6221"," 0.4326","0.5673"," 0.3549"
"43","elixir"," 0.6082"," 0.5631","0.5655","-0.2982"
"48","coffeescript"," 0.5696"," 0.5629","0.4991"," 0.7340"
"34","scheme"," 0.5354"," 0.4095","0.5509"," 0.4502"
"50","d"," 0.4745"," 0.5055","0.3499"," 0.3056"
"13","perl"," 0.4586"," 0.2434","0.8077"," 0.5041"
"36","typescript"," 0.4239"," 0.2775","0.4770","-0.3684"
"11","objective-c"," 0.3961"," 0.4506","0.5239"," 0.8124"
"24","dart"," 0.3691"," 0.3153","0.2874","-0.3346"
"27","lisp"," 0.3071"," 0.0552","0.6052"," 0.2270"
"12","delphi"," 0.2924"," 0.0942","0.8599"," 0.7143"
"33","kotlin"," 0.2336"," 0.0523","0.3690","-0.4151"
"46","actionscript-3","-0.1668","-0.2432","0.5007"," 0.4388"
"5",".net","-0.2000","-0.2803","0.9060"," 0.3042"
