Language,Questions,Positive,Negative,Views
php, 0.9763, 0.9608,0.9551, 0.9521
html, 0.9748, 0.9233,0.9875, 0.9326
c++, 0.9655, 0.9447,0.9756, 0.8474
matlab, 0.9616, 0.9387,0.9144, 0.9194
haskell, 0.9598, 0.9319,0.6944, 0.4119
lua, 0.9529, 0.8584,0.8212, 0.6977
c, 0.9499, 0.9025,0.9543, 0.7920
javascript, 0.9494, 0.8817,0.9736, 0.8513
bash, 0.9491, 0.9069,0.9204, 0.7481
sql, 0.9485, 0.9098,0.9706, 0.7822
c#, 0.9483, 0.8490,0.9806, 0.8726
awk, 0.9482, 0.8047,0.9158, 0.7770
fortran, 0.9310, 0.8058,0.6972, 0.5705
assembly, 0.9300, 0.8760,0.8874, 0.6331
plsql, 0.9256, 0.8189,0.8860, 0.7431
vhdl, 0.9081, 0.8141,0.7174, 0.6359
vbscript, 0.8970, 0.8037,0.8514, 0.7430
groovy, 0.8868, 0.8395,0.8680, 0.1615
scala, 0.8781, 0.8455,0.7249, 0.0778
verilog, 0.8669, 0.8258,0.8051, 0.5210
ruby, 0.8519, 0.8580,0.9092, 0.8693
sas, 0.8485, 0.6674,0.7861, 0.3965
vb.net, 0.8369, 0.6476,0.9204, 0.8380
clojure, 0.8267, 0.8746,0.6198, 0.6561
f#, 0.8097, 0.6858,0.4173, 0.0835
common-lisp, 0.8007, 0.7450,0.5337, 0.2893
vba, 0.7919, 0.6428,0.8848, 0.7618
prolog, 0.7766, 0.7503,0.4679, 0.5600
powershell, 0.7702, 0.6420,0.8057, 0.5919
netlogo, 0.7615, 0.5353,0.4320,-0.0302
r, 0.7526, 0.5899,0.8828, 0.5277
python, 0.7241, 0.5949,0.8184, 0.3392
erlang, 0.7023, 0.6088,0.5813, 0.4163
ada, 0.6993, 0.5139,0.3883, 0.2627
cobol, 0.6715, 0.3173,0.4471, 0.2790
coffeescript, 0.6708, 0.7724,0.5155, 0.7611
go, 0.6677, 0.5208,0.5962, 0.1250
labview, 0.6648, 0.3719,0.5297, 0.1290
scheme, 0.6487, 0.6328,0.5718, 0.5634
apex, 0.6348, 0.4849,0.5300,-0.1514
abap, 0.5922, 0.4547,0.4354, 0.0764
julia, 0.5888, 0.2926,0.5282,-0.2894
swift, 0.5794, 0.3443,0.7675,-0.1868
perl, 0.5776, 0.5346,0.8040, 0.5613
rust, 0.5718, 0.2706,0.4604,-0.2165
d, 0.5685, 0.6824,0.3241, 0.3501
objective-c, 0.5297, 0.7224,0.5481, 0.8623
elixir, 0.4798, 0.2731,0.5479,-0.3062
lisp, 0.4348, 0.3399,0.6339, 0.2487
delphi, 0.4332, 0.4082,0.8767, 0.7865
dart, 0.3799, 0.2317,0.2957,-0.3317
typescript, 0.3279,-0.0052,0.4642,-0.4055
kotlin, 0.1865,-0.1556,0.3594,-0.4361
actionscript-3,-0.0115, 0.0738,0.5102, 0.5080
.net,-0.0503, 0.0265,0.9106, 0.3161
