Language,Questions,Positive,Negative,Views
bash, 0.9891, 0.9496,0.9606, 0.5597
html, 0.9845, 0.9858,0.9846, 0.8717
scala, 0.9735, 0.9692,0.8192, 0.4335
awk, 0.9596, 0.8718,0.9389, 0.6689
java, 0.9494, 0.8817,0.9736, 0.8513
plsql, 0.9491, 0.6909,0.8936, 0.5520
sas, 0.9423, 0.8224,0.8531, 0.5645
fortran, 0.9419, 0.8822,0.6792, 0.6523
vba, 0.9353, 0.9061,0.9419, 0.8391
groovy, 0.9271, 0.8317,0.8799, 0.4594
powershell, 0.9189, 0.9001,0.8876, 0.7480
lua, 0.9171, 0.8676,0.8220, 0.7036
r, 0.9009, 0.8704,0.9452, 0.7439
php, 0.8987, 0.8587,0.9140, 0.8699
sql, 0.8986, 0.7583,0.9712, 0.5720
haskell, 0.8901, 0.8782,0.7346, 0.4508
matlab, 0.8806, 0.8466,0.8445, 0.7349
verilog, 0.8771, 0.7551,0.8051, 0.6021
vhdl, 0.8745, 0.7830,0.7197, 0.6715
python, 0.8724, 0.8708,0.8997, 0.6675
assembly, 0.8643, 0.7819,0.8375, 0.6113
c++, 0.8525, 0.7176,0.9679, 0.6477
c#, 0.8504, 0.5660,0.9809, 0.6676
go, 0.8443, 0.8241,0.7128, 0.4472
netlogo, 0.8348, 0.7059,0.4310, 0.2186
c, 0.8270, 0.6358,0.9258, 0.5124
vbscript, 0.7875, 0.6634,0.8530, 0.5444
julia, 0.7841, 0.6685,0.5913, 0.0463
f#, 0.7749, 0.7736,0.3789, 0.1156
swift, 0.7731, 0.6797,0.8601, 0.0256
rust, 0.7604, 0.6266,0.5783, 0.0654
apex, 0.7556, 0.6164,0.5756, 0.1193
labview, 0.7265, 0.4902,0.5596, 0.2751
abap, 0.7209, 0.5700,0.5135, 0.2036
common-lisp, 0.7193, 0.6321,0.4955, 0.2791
elixir, 0.7035, 0.6418,0.6213, 0.0859
prolog, 0.6946, 0.7344,0.3602, 0.5135
ruby, 0.6847, 0.5530,0.8757, 0.6223
clojure, 0.6778, 0.6699,0.5949, 0.5136
vb.net, 0.6591, 0.2792,0.8854, 0.5943
ada, 0.6243, 0.3780,0.3506, 0.2414
cobol, 0.6138, 0.2532,0.4220, 0.1365
typescript, 0.5609, 0.4146,0.5928,-0.0008
erlang, 0.5483, 0.3527,0.5387, 0.2740
scheme, 0.4759, 0.3597,0.4832, 0.3773
coffeescript, 0.4628, 0.4903,0.3995, 0.6516
dart, 0.4460, 0.3697,0.3830,-0.1875
d, 0.3890, 0.4335,0.3468, 0.2690
kotlin, 0.3771, 0.1953,0.4872,-0.1591
perl, 0.3382, 0.1373,0.7425, 0.2201
objective-c, 0.2750, 0.3467,0.4090, 0.6203
lisp, 0.2300,-0.0266,0.5660, 0.0604
delphi, 0.1863, 0.0002,0.8047, 0.5408
actionscript-3,-0.2772,-0.3330,0.4279, 0.1375
.net,-0.2815,-0.3805,0.8887, 0.0108
