Language,Questions,Positive,Negative,Views
go, 0.9591, 0.9070, 0.6043, 0.6936
r, 0.9279, 0.8602, 0.6476, 0.4798
powershell, 0.9247, 0.8140, 0.6067, 0.1892
rust, 0.9168, 0.8976, 0.4986, 0.7929
python, 0.9159, 0.8430, 0.6516, 0.5404
swift, 0.9138, 0.8998, 0.6767, 0.5138
vba, 0.9047, 0.8120, 0.6713, 0.0873
elixir, 0.8839, 0.8847, 0.4725, 0.6781
sas, 0.8513, 0.6872, 0.5039, 0.3803
typescript, 0.8483, 0.8068, 0.5692, 0.6740
scala, 0.8469, 0.6883, 0.6221, 0.5971
apex, 0.8168, 0.5923, 0.3318, 0.6406
javascript, 0.7841, 0.6685, 0.5913, 0.0463
netlogo, 0.7780, 0.7042, 0.3321, 0.7208
bash, 0.7749, 0.5517, 0.5933,-0.4972
groovy, 0.7511, 0.4789, 0.4440, 0.4086
abap, 0.7481, 0.4223, 0.3782, 0.3648
verilog, 0.7189, 0.3109, 0.4819, 0.2032
plsql, 0.7123, 0.1228, 0.5258,-0.3975
awk, 0.7011, 0.5333, 0.5471,-0.1531
kotlin, 0.6929, 0.5993, 0.4665, 0.6655
html, 0.6886, 0.5794, 0.5261,-0.2863
fortran, 0.6644, 0.5191, 0.4134, 0.2730
labview, 0.5987, 0.4125, 0.2746, 0.1818
vhdl, 0.5947, 0.3479, 0.3081, 0.0516
java, 0.5888, 0.2926, 0.5282,-0.2894
assembly, 0.5627, 0.2968, 0.4228, 0.0506
lua, 0.5491, 0.4497, 0.4700, 0.0179
dart, 0.5388, 0.4213, 0.3617, 0.6157
haskell, 0.5352, 0.4061, 0.4892, 0.3895
sql, 0.5299, 0.1210, 0.5199,-0.5086
f#, 0.5092, 0.5700, 0.1597, 0.3445
matlab, 0.4854, 0.3252, 0.3742,-0.2821
php, 0.4616, 0.2877, 0.4318,-0.2298
cobol, 0.4587, 0.1499, 0.2366,-0.0261
prolog, 0.4315, 0.3961, 0.0662, 0.0931
ada, 0.4030, 0.0447, 0.4395, 0.3456
c++, 0.3966, 0.0317, 0.5621,-0.3274
c, 0.3927,-0.0675, 0.4962,-0.4877
c#, 0.3910,-0.1580, 0.5486,-0.5367
common-lisp, 0.3677, 0.1620, 0.4047, 0.1153
vbscript, 0.3164, 0.1339, 0.5731,-0.4462
clojure, 0.1807, 0.0358, 0.2954,-0.1378
ruby, 0.1384,-0.1714, 0.4242,-0.5090
scheme, 0.1054,-0.1963, 0.1289,-0.2158
vb.net, 0.1054,-0.4333, 0.4355,-0.5366
erlang, 0.1030,-0.1495, 0.2475,-0.1678
d,-0.0708,-0.1231, 0.2271,-0.1138
coffeescript,-0.1043,-0.2112,-0.0459,-0.2933
lisp,-0.1790,-0.5578, 0.3728,-0.3469
perl,-0.2421,-0.5371, 0.2467,-0.6639
objective-c,-0.3041,-0.3849,-0.0044,-0.5041
delphi,-0.3456,-0.6130, 0.3489,-0.4151
.net,-0.6497,-0.8075, 0.4531,-0.7273
actionscript-3,-0.7102,-0.7782, 0.1441,-0.7223
