"","language","count","positive","negative","normalized views"
"33","scheme"," 0.7632"," 0.6581"," 0.6420"," 0.4774"
"12","delphi"," 0.6992"," 0.7884"," 0.5980"," 0.4551"
"49","common-lisp"," 0.6849"," 0.5320"," 0.8636"," 0.6116"
"13","perl"," 0.6815"," 0.7836"," 0.5562"," 0.5769"
"11","objective-c"," 0.6600"," 0.6949"," 0.5006"," 0.2522"
"2","c"," 0.6261"," 0.6258"," 0.6775"," 0.5707"
"15","ruby"," 0.6231"," 0.6255"," 0.6659"," 0.4429"
"54","vb.net"," 0.6207"," 0.6888"," 0.6147"," 0.4420"
"40","erlang"," 0.6200"," 0.5397"," 0.4010"," 0.1341"
"39","clojure"," 0.6196"," 0.5045"," 0.5336"," 0.2637"
"3","c++"," 0.5946"," 0.5441"," 0.6333"," 0.5523"
"48","coffeescript"," 0.5870"," 0.5492"," 0.4381"," 0.1061"
"50","d"," 0.5485"," 0.4897"," 0.2230"," 0.4265"
"26","prolog"," 0.5479"," 0.2164"," 0.4390"," 0.2163"
"46","actionscript-3"," 0.5432"," 0.6889"," 0.5660"," 0.5150"
"6","c#"," 0.5424"," 0.6322"," 0.6018"," 0.4804"
"10","assembly"," 0.5210"," 0.3504"," 0.6652"," 0.1759"
"5",".net"," 0.5060"," 0.7040"," 0.5432"," 0.6735"
"38","haskell"," 0.5049"," 0.2211"," 0.4101"," 0.2301"
"9","php"," 0.4972"," 0.3396"," 0.6320"," 0.1698"
"30","f#"," 0.4796"," 0.0733"," 0.3395"," 0.2436"
"55","vbscript"," 0.4691"," 0.2955"," 0.5641"," 0.2007"
"14","matlab"," 0.4538"," 0.2388"," 0.6813"," 0.1897"
"1","java"," 0.4348"," 0.3399"," 0.6339"," 0.2487"
"8","sql"," 0.3815"," 0.4116"," 0.5711"," 0.5363"
"29","ada"," 0.3811"," 0.3431"," 0.3886"," 0.1195"
"44","vhdl"," 0.3783"," 0.1605"," 0.4714","-0.0006"
"27","lua"," 0.3679"," 0.1132"," 0.4682"," 0.1544"
"43","html"," 0.3071"," 0.0552"," 0.6052"," 0.2270"
"45","verilog"," 0.3037"," 0.2182"," 0.5501","-0.0057"
"47","cobol"," 0.3021"," 0.1229"," 0.2844"," 0.0997"
"23","fortran"," 0.3002"," 0.0168"," 0.3726"," 0.0756"
"52","plsql"," 0.2942"," 0.3988"," 0.5491"," 0.2036"
"37","awk"," 0.2891"," 0.0185"," 0.5380"," 0.2102"
"41","bash"," 0.2584"," 0.0812"," 0.5060"," 0.3951"
"7","javascript"," 0.2300","-0.0266"," 0.5660"," 0.0604"
"17","groovy"," 0.2073"," 0.1091"," 0.4594","-0.3983"
"25","scala"," 0.1511","-0.0667"," 0.3073","-0.4473"
"34","labview"," 0.1352","-0.1123"," 0.3726","-0.0479"
"21","sas"," 0.0830","-0.2344"," 0.3683","-0.2581"
"51","netlogo"," 0.0443","-0.3124"," 0.3393","-0.1871"
"16","vba","-0.0082","-0.2961"," 0.4332","-0.0576"
"53","powershell","-0.0188","-0.2815"," 0.3715","-0.1983"
"4","python","-0.0349","-0.3036"," 0.3712","-0.1377"
"22","abap","-0.0387","-0.0274"," 0.1382","-0.1578"
"20","r","-0.0476","-0.3670"," 0.4751","-0.2788"
"31","apex","-0.1293","-0.2438"," 0.1837","-0.3974"
"19","go","-0.1318","-0.4202"," 0.1584","-0.4596"
"42","elixir","-0.1440","-0.4741"," 0.2401","-0.3958"
"24","dart","-0.1453","-0.2462"," 0.0145","-0.1936"
"18","swift","-0.1472","-0.4948"," 0.3713","-0.4307"
"36","julia","-0.1790","-0.5578"," 0.3728","-0.3469"
"28","rust","-0.2004","-0.5539"," 0.0749","-0.2450"
"35","typescript","-0.2965","-0.5730"," 0.0356","-0.4315"
"32","kotlin","-0.3596","-0.5421","-0.0153","-0.3118"
