language,count,positive,negative,normalized views
java, 0.9529, 0.8584,0.8212, 0.6977
html, 0.9483, 0.8892,0.8359, 0.6871
sql, 0.9443, 0.8435,0.8321, 0.4556
php, 0.9427, 0.7845,0.8138, 0.6955
matlab, 0.9217, 0.8758,0.7715, 0.6247
awk, 0.9175, 0.8487,0.7710, 0.4980
javascript, 0.9171, 0.8676,0.8220, 0.7036
c#, 0.9170, 0.6375,0.8235, 0.5552
c++, 0.9140, 0.7745,0.8063, 0.5226
bash, 0.9095, 0.9066,0.7657, 0.4695
fortran, 0.8909, 0.8253,0.6874, 0.4801
haskell, 0.8884, 0.8666,0.5443, 0.4597
plsql, 0.8827, 0.6834,0.7351, 0.4974
c, 0.8794, 0.7064,0.7823, 0.4398
vbscript, 0.8672, 0.6012,0.7196, 0.4310
vhdl, 0.8640, 0.7768,0.5399, 0.5114
groovy, 0.8429, 0.7973,0.7233, 0.2751
assembly, 0.8424, 0.7450,0.6810, 0.5057
scala, 0.8408, 0.8508,0.5831, 0.2646
vb.net, 0.8245, 0.4580,0.8391, 0.4891
ruby, 0.8239, 0.6462,0.7578, 0.5222
sas, 0.8142, 0.7646,0.6115, 0.4629
verilog, 0.8100, 0.7987,0.6532, 0.5077
clojure, 0.8024, 0.7434,0.5309, 0.4799
vba, 0.7610, 0.7234,0.7546, 0.6783
f#, 0.7572, 0.6621,0.3668, 0.1554
powershell, 0.7429, 0.7144,0.6507, 0.5411
common-lisp, 0.7328, 0.6578,0.4360, 0.3664
netlogo, 0.7211, 0.6399,0.3373, 0.2039
r, 0.7141, 0.6808,0.7372, 0.5641
prolog, 0.6910, 0.6544,0.3538, 0.4670
python, 0.6882, 0.6903,0.6789, 0.4563
coffeescript, 0.6638, 0.6173,0.5148, 0.5554
erlang, 0.6468, 0.3759,0.4595, 0.2771
apex, 0.6425, 0.6527,0.3911, 0.0920
labview, 0.6425, 0.3618,0.4176, 0.2383
go, 0.6387, 0.6850,0.4810, 0.3107
ada, 0.6364, 0.3951,0.3522, 0.2589
cobol, 0.6266, 0.2882,0.4135, 0.0983
abap, 0.5866, 0.4627,0.3565, 0.2942
perl, 0.5843, 0.3518,0.6678, 0.2207
scheme, 0.5648, 0.4125,0.4352, 0.3594
d, 0.5584, 0.5829,0.2763, 0.2376
julia, 0.5491, 0.4497,0.4700, 0.0179
swift, 0.5338, 0.4072,0.6096,-0.0383
rust, 0.5293, 0.3823,0.3882, 0.0382
objective-c, 0.5102, 0.5029,0.5093, 0.5181
elixir, 0.4577, 0.3606,0.3720,-0.0211
delphi, 0.4018, 0.1245,0.7657, 0.4433
dart, 0.3845, 0.4370,0.2866,-0.0694
lisp, 0.3679, 0.1132,0.4682, 0.1544
typescript, 0.3107, 0.1728,0.3952,-0.0782
kotlin, 0.1597, 0.0049,0.3110,-0.1331
actionscript-3,-0.0248,-0.2115,0.4543, 0.1830
.net,-0.0560,-0.2327,0.7868, 0.0150
