language,count,positive,negative,normalized views
sas, 0.8838, 0.8063,0.3209, 0.5292
vba, 0.8546, 0.7356,0.4541, 0.2850
bash, 0.8481, 0.6927,0.4396,-0.2923
r, 0.8399, 0.7544,0.4349, 0.6075
javascript, 0.8348, 0.7059,0.4310, 0.2186
scala, 0.8312, 0.7480,0.3767, 0.5777
verilog, 0.8256, 0.5872,0.3686, 0.4221
apex, 0.8255, 0.8105,0.2263, 0.6973
go, 0.8216, 0.8157,0.3019, 0.7115
awk, 0.8189, 0.6383,0.4772, 0.0110
powershell, 0.8183, 0.6669,0.3863, 0.3170
html, 0.8160, 0.6959,0.4192,-0.0537
rust, 0.8020, 0.6946,0.2652, 0.8038
python, 0.7906, 0.6831,0.3944, 0.5812
fortran, 0.7896, 0.6119,0.3679, 0.4305
plsql, 0.7864, 0.2913,0.4229,-0.2136
vhdl, 0.7845, 0.5693,0.3810, 0.3489
groovy, 0.7842, 0.6035,0.3792, 0.3769
swift, 0.7826, 0.7233,0.4120, 0.4690
julia, 0.7780, 0.7042,0.3321, 0.7208
java, 0.7615, 0.5353,0.4320,-0.0302
matlab, 0.7352, 0.6200,0.3522,-0.0122
haskell, 0.7222, 0.6370,0.3655, 0.4840
lua, 0.7211, 0.6399,0.3373, 0.2039
sql, 0.6998, 0.3535,0.3672,-0.3076
assembly, 0.6986, 0.4457,0.3976, 0.2527
php, 0.6549, 0.4712,0.3737, 0.0026
elixir, 0.6512, 0.5864,0.3047, 0.5341
labview, 0.6376, 0.4056,0.3886, 0.2621
c, 0.6285, 0.2463,0.4372,-0.2590
c++, 0.6220, 0.3272,0.4556,-0.0914
f#, 0.6074, 0.5206,0.2498, 0.3388
prolog, 0.5986, 0.5526,0.2301, 0.3237
abap, 0.5884, 0.2920,0.2706, 0.2859
cobol, 0.5808, 0.2716,0.3770, 0.0310
vbscript, 0.5781, 0.3869,0.3632,-0.2462
c#, 0.5629, 0.1234,0.4131,-0.3350
ada, 0.5541, 0.1096,0.3016, 0.4271
common-lisp, 0.5409, 0.3443,0.3662, 0.2420
typescript, 0.5339, 0.3448,0.2312, 0.4355
dart, 0.4466, 0.4009,0.2090, 0.4190
clojure, 0.4389, 0.3230,0.3394, 0.0358
vb.net, 0.4213,-0.0353,0.3801,-0.3125
ruby, 0.4202, 0.1727,0.3275,-0.2900
kotlin, 0.3989, 0.2139,0.1678, 0.4687
erlang, 0.3397, 0.0921,0.1819,-0.0472
scheme, 0.3074,-0.0031,0.2537,-0.0003
d, 0.2135, 0.2758,0.2577,-0.0047
coffeescript, 0.1947, 0.1014,0.2393,-0.1302
perl, 0.0665,-0.1961,0.2578,-0.5366
lisp, 0.0443,-0.3124,0.3393,-0.1871
objective-c, 0.0204,-0.0078,0.1757,-0.2747
delphi,-0.0879,-0.3569,0.3906,-0.2050
actionscript-3,-0.4791,-0.5918,0.2037,-0.6273
.net,-0.5049,-0.5886,0.3783,-0.6426
