Language,Questions,Positive,Negative,Views
javascript, 0.9491, 0.6909,0.8936, 0.5520
bash, 0.9451, 0.7074,0.8506, 0.7048
html, 0.9337, 0.7202,0.9027, 0.6980
awk, 0.9267, 0.6455,0.8495, 0.5969
java, 0.9256, 0.8189,0.8860, 0.7431
scala, 0.9220, 0.6396,0.6700,-0.1529
fortran, 0.8884, 0.6494,0.6574, 0.3541
assembly, 0.8881, 0.8073,0.7821, 0.4571
groovy, 0.8879, 0.6242,0.7336,-0.0189
sql, 0.8852, 0.8243,0.8584, 0.6968
sas, 0.8851, 0.4872,0.7669, 0.1870
lua, 0.8827, 0.6834,0.7351, 0.4974
vba, 0.8802, 0.4694,0.8039, 0.5522
haskell, 0.8739, 0.7615,0.5623, 0.2763
vhdl, 0.8738, 0.6883,0.6948, 0.4342
php, 0.8707, 0.7822,0.8357, 0.6939
powershell, 0.8689, 0.4811,0.7671, 0.3250
r, 0.8666, 0.4403,0.8162, 0.2511
verilog, 0.8648, 0.6370,0.7349, 0.2988
c++, 0.8557, 0.8411,0.8896, 0.6949
matlab, 0.8555, 0.7421,0.8064, 0.7139
python, 0.8496, 0.4866,0.7358, 0.0821
c#, 0.8368, 0.7678,0.8902, 0.7245
c, 0.8366, 0.8234,0.8769, 0.7051
go, 0.7960, 0.3446,0.5239,-0.0998
netlogo, 0.7864, 0.2913,0.4229,-0.2136
vbscript, 0.7677, 0.6003,0.7702, 0.6444
prolog, 0.7639, 0.6687,0.3749, 0.3820
f#, 0.7441, 0.5578,0.4315, 0.0470
apex, 0.7171, 0.2791,0.4717,-0.2995
julia, 0.7123, 0.1228,0.5258,-0.3975
common-lisp, 0.7121, 0.6555,0.5111, 0.1709
abap, 0.7105, 0.3685,0.4223, 0.1033
rust, 0.7026, 0.1494,0.3829,-0.3301
swift, 0.6912, 0.1357,0.7516,-0.3159
labview, 0.6785, 0.2586,0.4754, 0.0188
ruby, 0.6647, 0.7325,0.8158, 0.7174
clojure, 0.6571, 0.7220,0.6102, 0.5409
vb.net, 0.6570, 0.5914,0.8444, 0.7297
ada, 0.6520, 0.4690,0.4181, 0.1774
elixir, 0.6315, 0.1097,0.5439,-0.4115
cobol, 0.5757, 0.1953,0.4230, 0.1526
erlang, 0.5600, 0.5451,0.4727, 0.4792
typescript, 0.5437,-0.0053,0.3829,-0.4690
scheme, 0.5363, 0.6088,0.4376, 0.4294
coffeescript, 0.4719, 0.6636,0.4174, 0.6561
dart, 0.4647, 0.3075,0.1430,-0.3168
kotlin, 0.3973,-0.0739,0.2684,-0.4498
perl, 0.3698, 0.5361,0.7348, 0.5991
d, 0.3545, 0.5517,0.4384, 0.1675
lisp, 0.2942, 0.3988,0.5491, 0.2036
objective-c, 0.2842, 0.6418,0.4228, 0.7254
delphi, 0.2338, 0.4435,0.7529, 0.6631
actionscript-3,-0.2159, 0.1842,0.4215, 0.5520
.net,-0.2205, 0.1156,0.7750, 0.3572
