"","language","count","positive","negative","normalized views"
"20","r"," 0.9862"," 0.9411","0.9277"," 0.7570"
"16","vba"," 0.9801"," 0.9546","0.9295"," 0.7784"
"4","python"," 0.9788"," 0.9518","0.9527"," 0.6623"
"19","go"," 0.9739"," 0.9079","0.8608"," 0.6389"
"25","scala"," 0.9458"," 0.8693","0.9370"," 0.5613"
"37","julia"," 0.9247"," 0.8140","0.6067"," 0.1892"
"7","javascript"," 0.9189"," 0.9001","0.8876"," 0.7480"
"21","sas"," 0.9150"," 0.7631","0.8618"," 0.6286"
"42","bash"," 0.9085"," 0.8132","0.9044"," 0.2764"
"29","rust"," 0.9046"," 0.7812","0.7347"," 0.2113"
"18","swift"," 0.8816"," 0.7810","0.9196"," 0.2374"
"17","groovy"," 0.8757"," 0.7050","0.7637"," 0.6057"
"53","plsql"," 0.8689"," 0.4811","0.7671"," 0.3250"
"43","elixir"," 0.8467"," 0.7634","0.7892"," 0.1990"
"38","awk"," 0.8466"," 0.7800","0.8559"," 0.5149"
"44","html"," 0.8449"," 0.8335","0.8238"," 0.6047"
"32","apex"," 0.8384"," 0.5608","0.6085"," 0.3107"
"22","abap"," 0.8378"," 0.6001","0.5833"," 0.3319"
"36","typescript"," 0.8236"," 0.7004","0.7991"," 0.1811"
"23","fortran"," 0.8199"," 0.7953","0.4968"," 0.5176"
"52","netlogo"," 0.8183"," 0.6669","0.3863"," 0.3170"
"46","verilog"," 0.8026"," 0.5849","0.6973"," 0.5801"
"1","java"," 0.7702"," 0.6420","0.8057"," 0.5919"
"28","lua"," 0.7429"," 0.7144","0.6507"," 0.5411"
"8","sql"," 0.7317"," 0.5376","0.8172"," 0.2762"
"45","vhdl"," 0.7212"," 0.6078","0.6334"," 0.5784"
"10","assembly"," 0.7116"," 0.6027","0.6578"," 0.5218"
"35","labview"," 0.7075"," 0.4831","0.5168"," 0.2566"
"39","haskell"," 0.7024"," 0.6820","0.7223"," 0.3266"
"9","php"," 0.6712"," 0.6145","0.6736"," 0.6474"
"33","kotlin"," 0.6601"," 0.5092","0.7132"," 0.0609"
"14","matlab"," 0.6567"," 0.6285","0.5843"," 0.5752"
"6","c#"," 0.6174"," 0.2660","0.8231"," 0.3244"
"31","f#"," 0.6118"," 0.6771","0.1951","-0.0533"
"3","c++"," 0.6079"," 0.4271","0.8135"," 0.3145"
"2","c"," 0.5908"," 0.3338","0.7569"," 0.2389"
"24","dart"," 0.5734"," 0.4540","0.4762","-0.0214"
"26","prolog"," 0.5466"," 0.5826","0.1604"," 0.4007"
"50","common-lisp"," 0.5302"," 0.4478","0.2980"," 0.0982"
"55","vbscript"," 0.5241"," 0.4250","0.7170"," 0.3374"
"30","ada"," 0.5138"," 0.2302","0.2557"," 0.2652"
"48","cobol"," 0.5073"," 0.1631","0.3640"," 0.1724"
"40","clojure"," 0.3876"," 0.3917","0.4918"," 0.2940"
"15","ruby"," 0.3657"," 0.2217","0.6533"," 0.3227"
"54","vb.net"," 0.3375","-0.0534","0.6438"," 0.2986"
"41","erlang"," 0.2803"," 0.0763","0.4132"," 0.1510"
"34","scheme"," 0.2546"," 0.1053","0.2697"," 0.1526"
"49","coffeescript"," 0.1381"," 0.2057","0.1120"," 0.4842"
"51","d"," 0.1089"," 0.1503","0.3227"," 0.0956"
"13","perl","-0.0016","-0.1717","0.4566","-0.0910"
"27","lisp","-0.0188","-0.2815","0.3715","-0.1983"
"11","objective-c","-0.0821"," 0.0085","0.0259"," 0.3650"
"12","delphi","-0.1325","-0.2840","0.5494"," 0.2855"
"5",".net","-0.5077","-0.6010","0.6805","-0.3228"
"47","actionscript-3","-0.5532","-0.5500","0.0980","-0.1214"
