language,count,positive,negative,normalized views
assembly, 0.8620, 0.8161, 0.5259, 0.6873
vhdl, 0.8242, 0.8015, 0.3320, 0.4295
haskell, 0.8169, 0.7941, 0.2417, 0.6645
c, 0.8151, 0.6699, 0.4405, 0.5101
c++, 0.7846, 0.6889, 0.4192, 0.5564
verilog, 0.7794, 0.7457, 0.3474, 0.4615
java, 0.7766, 0.7503, 0.4679, 0.5600
plsql, 0.7639, 0.6687, 0.3749, 0.3820
matlab, 0.7503, 0.7426, 0.5630, 0.5939
php, 0.7233, 0.6987, 0.4988, 0.5702
scheme, 0.7231, 0.5714, 0.4503, 0.5885
awk, 0.7177, 0.6818, 0.3222, 0.5209
bash, 0.7109, 0.7562, 0.3113, 0.3382
html, 0.7089, 0.7338, 0.4331, 0.4522
c#, 0.7048, 0.5132, 0.4128, 0.3977
javascript, 0.6946, 0.7344, 0.3602, 0.5135
lua, 0.6910, 0.6544, 0.3538, 0.4670
sql, 0.6896, 0.6454, 0.4241, 0.3521
common-lisp, 0.6816, 0.5796, 0.3434, 0.4012
fortran, 0.6755, 0.6453, 0.3257, 0.5785
scala, 0.6586, 0.7231, 0.1218, 0.1932
f#, 0.6510, 0.5929, 0.2171, 0.3527
vbscript, 0.6397, 0.5484, 0.3524, 0.3844
groovy, 0.6336, 0.6040, 0.3645, 0.1822
ada, 0.6303, 0.4472, 0.1883, 0.5010
clojure, 0.6266, 0.5785, 0.1922, 0.4155
ruby, 0.6241, 0.5380, 0.3736, 0.4764
vb.net, 0.6170, 0.3287, 0.5373, 0.3793
sas, 0.6061, 0.5681, 0.2043, 0.2594
erlang, 0.6013, 0.4080, 0.3600, 0.2544
netlogo, 0.5986, 0.5526, 0.2301, 0.3237
cobol, 0.5602, 0.3230, 0.1181, 0.2870
r, 0.5564, 0.5947, 0.2085, 0.5016
vba, 0.5542, 0.5839, 0.2533, 0.4532
python, 0.5509, 0.6099, 0.1620, 0.4212
lisp, 0.5479, 0.2164, 0.4390, 0.2163
powershell, 0.5466, 0.5826, 0.1604, 0.4007
labview, 0.5058, 0.3501, 0.2170, 0.1246
go, 0.4786, 0.5393, 0.0240, 0.2352
coffeescript, 0.4625, 0.4535, 0.5884, 0.4587
julia, 0.4315, 0.3961, 0.0662, 0.0931
apex, 0.4250, 0.4381, 0.1166, 0.1567
rust, 0.4192, 0.3685,-0.0493, 0.1605
perl, 0.4157, 0.2105, 0.4451, 0.2033
d, 0.4105, 0.4287, 0.1214, 0.2931
swift, 0.4083, 0.3871, 0.0927,-0.1181
objective-c, 0.3872, 0.3904, 0.5790, 0.3782
elixir, 0.3836, 0.3675, 0.0605,-0.0375
abap, 0.3783, 0.3585, 0.0981, 0.1652
delphi, 0.3446, 0.1296, 0.5385, 0.5108
dart, 0.2614, 0.2829,-0.0231, 0.0558
typescript, 0.2555, 0.1953,-0.0547,-0.0429
kotlin, 0.1378, 0.0595,-0.0796, 0.0071
actionscript-3, 0.0228,-0.1365, 0.4132, 0.1965
.net,-0.0431,-0.2048, 0.4606,-0.0436
