"","language","count","positive","negative","normalized views"
"19","r"," 0.9864"," 0.9752","0.9518"," 0.7937"
"53","powershell"," 0.9788"," 0.9518","0.9527"," 0.6623"
"18","go"," 0.9732"," 0.9173","0.9272"," 0.7227"
"15","vba"," 0.9489"," 0.9485","0.9602"," 0.6368"
"36","julia"," 0.9159"," 0.8430","0.6516"," 0.5404"
"24","scala"," 0.8988"," 0.8368","0.9656"," 0.7013"
"28","rust"," 0.8965"," 0.8128","0.8116"," 0.5117"
"35","typescript"," 0.8795"," 0.7686","0.8671"," 0.5788"
"6","javascript"," 0.8724"," 0.8708","0.8997"," 0.6675"
"20","sas"," 0.8667"," 0.7690","0.8343"," 0.5472"
"41","bash"," 0.8617"," 0.7923","0.9217"," 0.0790"
"21","abap"," 0.8512"," 0.6390","0.6202"," 0.4634"
"31","apex"," 0.8501"," 0.5910","0.6135"," 0.4981"
"52","plsql"," 0.8496"," 0.4866","0.7358"," 0.0821"
"16","groovy"," 0.8426"," 0.6657","0.7970"," 0.6623"
"17","swift"," 0.8332"," 0.7495","0.9429"," 0.2391"
"42","elixir"," 0.8118"," 0.7464","0.7218"," 0.5022"
"37","awk"," 0.7950"," 0.7984","0.8396"," 0.3539"
"51","netlogo"," 0.7906"," 0.6831","0.3944"," 0.5812"
"43","html"," 0.7842"," 0.7908","0.8262"," 0.3703"
"45","verilog"," 0.7797"," 0.5413","0.7421"," 0.4843"
"32","kotlin"," 0.7656"," 0.6282","0.7872"," 0.4804"
"22","fortran"," 0.7643"," 0.7785","0.5404"," 0.5768"
"1","java"," 0.7241"," 0.5949","0.8184"," 0.3392"
"7","sql"," 0.6995"," 0.5112","0.8436"," 0.0583"
"9","assembly"," 0.6923"," 0.6025","0.6749"," 0.4278"
"27","lua"," 0.6882"," 0.6903","0.6789"," 0.4563"
"44","vhdl"," 0.6857"," 0.5985","0.6150"," 0.4252"
"34","labview"," 0.6754"," 0.4928","0.5219"," 0.3512"
"23","dart"," 0.6724"," 0.5800","0.6072"," 0.2999"
"38","haskell"," 0.6554"," 0.6754","0.8041"," 0.5275"
"8","php"," 0.6091"," 0.5421","0.6968"," 0.4163"
"13","matlab"," 0.5855"," 0.5789","0.5896"," 0.2807"
"5","c#"," 0.5678"," 0.1910","0.8365"," 0.0849"
"3","c++"," 0.5644"," 0.3869","0.8439"," 0.2059"
"30","f#"," 0.5634"," 0.6882","0.2599"," 0.2820"
"2","c"," 0.5571"," 0.3057","0.7589"," 0.0241"
"25","prolog"," 0.5509"," 0.6099","0.1620"," 0.4212"
"29","ada"," 0.5141"," 0.2827","0.2958"," 0.3837"
"49","common-lisp"," 0.4923"," 0.4373","0.3243"," 0.2506"
"47","cobol"," 0.4895"," 0.1825","0.3685"," 0.0543"
"55","vbscript"," 0.4440"," 0.3266","0.7292"," 0.0384"
"39","clojure"," 0.3129"," 0.3316","0.4839"," 0.1749"
"14","ruby"," 0.2847"," 0.1425","0.6441"," 0.0093"
"54","vb.net"," 0.2752","-0.1187","0.6729"," 0.0157"
"33","scheme"," 0.2483"," 0.1033","0.3051"," 0.1637"
"40","erlang"," 0.2182"," 0.0290","0.4058","-0.0171"
"48","coffeescript"," 0.0766"," 0.1429","0.1191"," 0.1941"
"50","d"," 0.0550"," 0.1051","0.2626"," 0.0753"
"26","lisp","-0.0349","-0.3036","0.3712","-0.1377"
"12","perl","-0.0474","-0.2250","0.4479","-0.2583"
"10","objective-c","-0.1353","-0.0586","0.0549","-0.0220"
"11","delphi","-0.1711","-0.3589","0.5780"," 0.0248"
"4",".net","-0.4998","-0.6657","0.7213","-0.4532"
"46","actionscript-3","-0.5551","-0.5981","0.1164","-0.3971"
