"","language","count","positive","negative","normalized views"
"4","python"," 0.9864"," 0.9752","0.9518"," 0.7937"
"53","powershell"," 0.9862"," 0.9411","0.9277"," 0.7570"
"16","vba"," 0.9774"," 0.9545","0.9551"," 0.7541"
"19","go"," 0.9760"," 0.9411","0.8053"," 0.7806"
"24","scala"," 0.9332"," 0.8562","0.9132"," 0.7212"
"36","julia"," 0.9279"," 0.8602","0.6476"," 0.4798"
"28","rust"," 0.9154"," 0.8592","0.6830"," 0.5274"
"20","sas"," 0.9107"," 0.8270","0.8500"," 0.7313"
"7","javascript"," 0.9009"," 0.8704","0.9452"," 0.7439"
"41","bash"," 0.8922"," 0.7997","0.9397"," 0.1348"
"18","swift"," 0.8830"," 0.8110","0.9309"," 0.3832"
"52","plsql"," 0.8666"," 0.4403","0.8162"," 0.2511"
"17","groovy"," 0.8552"," 0.6583","0.8320"," 0.6215"
"31","apex"," 0.8506"," 0.6217","0.6147"," 0.4786"
"51","netlogo"," 0.8399"," 0.7544","0.4349"," 0.6075"
"42","elixir"," 0.8380"," 0.7607","0.7480"," 0.4083"
"35","typescript"," 0.8362"," 0.7269","0.7251"," 0.3420"
"37","awk"," 0.8337"," 0.8054","0.8876"," 0.4901"
"43","html"," 0.8220"," 0.7964","0.8978"," 0.4795"
"21","abap"," 0.8175"," 0.5972","0.5526"," 0.4224"
"45","verilog"," 0.8139"," 0.5556","0.7482"," 0.6387"
"22","fortran"," 0.8070"," 0.7819","0.5928"," 0.6680"
"1","java"," 0.7526"," 0.5899","0.8828"," 0.5277"
"44","vhdl"," 0.7244"," 0.6083","0.6667"," 0.5996"
"27","lua"," 0.7141"," 0.6808","0.7372"," 0.5641"
"34","labview"," 0.7081"," 0.5184","0.5790"," 0.3679"
"8","sql"," 0.7076"," 0.4689","0.8774"," 0.1222"
"10","assembly"," 0.7070"," 0.5641","0.7472"," 0.5716"
"32","kotlin"," 0.6952"," 0.5880","0.6061"," 0.2646"
"38","haskell"," 0.6835"," 0.6800","0.7607"," 0.5583"
"14","matlab"," 0.6399"," 0.6050","0.6757"," 0.5099"
"9","php"," 0.6385"," 0.5304","0.7637"," 0.5839"
"23","dart"," 0.6005"," 0.5509","0.4476"," 0.1763"
"3","c++"," 0.5871"," 0.3571","0.8908"," 0.2833"
"30","f#"," 0.5806"," 0.6376","0.2624"," 0.1889"
"6","c#"," 0.5804"," 0.1457","0.8891"," 0.1770"
"2","c"," 0.5729"," 0.2713","0.8315"," 0.1295"
"25","prolog"," 0.5564"," 0.5947","0.2085"," 0.5016"
"29","ada"," 0.5175"," 0.2335","0.3082"," 0.4455"
"49","common-lisp"," 0.5058"," 0.4145","0.4473"," 0.1907"
"47","cobol"," 0.5056"," 0.2007","0.4069"," 0.1433"
"55","vbscript"," 0.4993"," 0.3694","0.7997"," 0.2181"
"39","clojure"," 0.3459"," 0.3181","0.5723"," 0.3255"
"15","ruby"," 0.3213"," 0.1271","0.7469"," 0.1773"
"54","vb.net"," 0.3037","-0.1479","0.7521"," 0.1621"
"33","scheme"," 0.2549"," 0.0768","0.4063"," 0.2081"
"40","erlang"," 0.2414","-0.0113","0.5003"," 0.1498"
"48","coffeescript"," 0.1001"," 0.1311","0.1927"," 0.4070"
"50","d"," 0.0693"," 0.0852","0.3080"," 0.0690"
"13","perl","-0.0432","-0.2741","0.5636","-0.2277"
"26","lisp","-0.0476","-0.3670","0.4751","-0.2788"
"11","objective-c","-0.1236","-0.0869","0.1552"," 0.2377"
"12","delphi","-0.1762","-0.4114","0.6486"," 0.1854"
"5",".net","-0.5408","-0.7200","0.7604","-0.5069"
"46","actionscript-3","-0.5833","-0.6624","0.2610","-0.3191"
