Language,Questions,Positive,Negative,Views
javascript, 0.9735, 0.9692, 0.8192, 0.4335
vba, 0.9622, 0.8756, 0.9092, 0.3951
bash, 0.9609, 0.9323, 0.8541,-0.2690
sas, 0.9512, 0.8244, 0.8184, 0.5345
powershell, 0.9458, 0.8693, 0.9370, 0.5613
html, 0.9365, 0.9577, 0.7333, 0.0548
r, 0.9332, 0.8562, 0.9132, 0.7212
plsql, 0.9220, 0.6396, 0.6700,-0.1529
awk, 0.9191, 0.8493, 0.7728, 0.0241
groovy, 0.9057, 0.8307, 0.7382, 0.7604
fortran, 0.9047, 0.8426, 0.4262, 0.3497
python, 0.8988, 0.8368, 0.9656, 0.7013
go, 0.8882, 0.8325, 0.9201, 0.7917
java, 0.8781, 0.8455, 0.7249, 0.0778
verilog, 0.8637, 0.7373, 0.6703, 0.4394
swift, 0.8635, 0.7267, 0.9278, 0.6464
julia, 0.8469, 0.6883, 0.6221, 0.5971
lua, 0.8408, 0.8508, 0.5831, 0.2646
netlogo, 0.8312, 0.7480, 0.3767, 0.5777
rust, 0.8284, 0.6483, 0.7951, 0.6277
haskell, 0.8275, 0.8734, 0.7758, 0.2707
vhdl, 0.8273, 0.7462, 0.5604, 0.2961
assembly, 0.8182, 0.7597, 0.5785, 0.2618
php, 0.8113, 0.8256, 0.5789, 0.1815
sql, 0.8105, 0.7049, 0.7489,-0.3712
elixir, 0.8090, 0.6663, 0.7764, 0.8044
matlab, 0.7987, 0.8230, 0.4676, 0.0244
c++, 0.7578, 0.6775, 0.7470,-0.2212
apex, 0.7554, 0.6371, 0.6191, 0.5028
c#, 0.7543, 0.5158, 0.7432,-0.2679
f#, 0.7462, 0.7818, 0.1849, 0.0781
labview, 0.7358, 0.4683, 0.5089, 0.3865
abap, 0.7331, 0.5079, 0.6306, 0.3135
c, 0.7328, 0.5918, 0.6621,-0.3505
vbscript, 0.6889, 0.6334, 0.6373,-0.1853
prolog, 0.6586, 0.7231, 0.1218, 0.1932
common-lisp, 0.6546, 0.5893, 0.2584, 0.0309
typescript, 0.6488, 0.4044, 0.8893, 0.6819
clojure, 0.5700, 0.6348, 0.4482,-0.0332
ada, 0.5677, 0.3466, 0.2620, 0.1834
ruby, 0.5657, 0.5253, 0.5289,-0.2281
cobol, 0.5652, 0.2418, 0.3366,-0.0788
vb.net, 0.5237, 0.2328, 0.5507,-0.3334
erlang, 0.4723, 0.3565, 0.3549,-0.0748
kotlin, 0.4293, 0.1559, 0.8062, 0.4006
scheme, 0.4121, 0.3250, 0.2247,-0.1399
dart, 0.3999, 0.3081, 0.5859, 0.1363
coffeescript, 0.3113, 0.4375, 0.0053, 0.0219
d, 0.2682, 0.4155, 0.2310,-0.1378
perl, 0.1904, 0.1109, 0.3275,-0.6010
lisp, 0.1511,-0.0667, 0.3073,-0.4473
objective-c, 0.1254, 0.3120,-0.0899,-0.1631
delphi, 0.0517,-0.0380, 0.4604,-0.2647
.net,-0.3809,-0.4044, 0.6133,-0.7317
actionscript-3,-0.3985,-0.3590, 0.0090,-0.6137
