Language,Questions,Positive,Negative,Views
java, 0.9485, 0.9098,0.9706, 0.7822
lua, 0.9443, 0.8435,0.8321, 0.4556
php, 0.9369, 0.8362,0.9489, 0.7012
html, 0.9334, 0.8045,0.9768, 0.7898
c++, 0.9237, 0.9360,0.9488, 0.8792
c#, 0.9227, 0.8694,0.9755, 0.9141
awk, 0.9143, 0.7896,0.9024, 0.6891
bash, 0.9048, 0.8359,0.9147, 0.7760
matlab, 0.9030, 0.8666,0.8779, 0.7226
c, 0.9004, 0.9124,0.9094, 0.8712
javascript, 0.8986, 0.7583,0.9712, 0.5720
haskell, 0.8885, 0.8473,0.7029, 0.2234
plsql, 0.8852, 0.8243,0.8584, 0.6968
fortran, 0.8767, 0.7458,0.6720, 0.3311
vbscript, 0.8643, 0.6827,0.8414, 0.7393
groovy, 0.8639, 0.7712,0.8498,-0.2007
assembly, 0.8567, 0.8310,0.8283, 0.4496
vb.net, 0.8379, 0.7356,0.9020, 0.9186
vhdl, 0.8355, 0.7547,0.6743, 0.4272
ruby, 0.8133, 0.8464,0.8814, 0.8255
scala, 0.8105, 0.7049,0.7489,-0.3712
sas, 0.7938, 0.5559,0.8068, 0.1052
verilog, 0.7783, 0.7416,0.7917, 0.2700
clojure, 0.7765, 0.8469,0.5484, 0.5314
vba, 0.7429, 0.5250,0.8931, 0.5136
powershell, 0.7317, 0.5376,0.8172, 0.2762
common-lisp, 0.7260, 0.6992,0.4723, 0.2814
f#, 0.7209, 0.6013,0.4065, 0.0226
r, 0.7076, 0.4689,0.8774, 0.1222
netlogo, 0.6998, 0.3535,0.3672,-0.3076
python, 0.6995, 0.5112,0.8436, 0.0583
prolog, 0.6896, 0.6454,0.4241, 0.3521
coffeescript, 0.6805, 0.8140,0.4788, 0.6114
apex, 0.6778, 0.4242,0.5390,-0.3691
ada, 0.6613, 0.5450,0.3399, 0.1175
erlang, 0.6414, 0.5505,0.5500, 0.3622
go, 0.6275, 0.3951,0.6551,-0.2515
cobol, 0.6184, 0.2809,0.4065, 0.2139
perl, 0.6100, 0.6364,0.7901, 0.7632
scheme, 0.6017, 0.6528,0.5384, 0.5236
labview, 0.5946, 0.2594,0.5101,-0.0034
abap, 0.5676, 0.4050,0.5028,-0.0630
d, 0.5588, 0.6732,0.2950, 0.4169
objective-c, 0.5322, 0.7705,0.5251, 0.7490
julia, 0.5299, 0.1210,0.5199,-0.5086
rust, 0.4777, 0.0737,0.5213,-0.4645
dart, 0.4499, 0.3276,0.3751,-0.3394
swift, 0.4438, 0.0859,0.7543,-0.4938
delphi, 0.4295, 0.4815,0.8576, 0.7530
elixir, 0.3968, 0.0688,0.5344,-0.6094
lisp, 0.3815, 0.4116,0.5711, 0.5363
typescript, 0.3371,-0.0375,0.5421,-0.6022
kotlin, 0.2237,-0.1353,0.4586,-0.5206
actionscript-3, 0.0266, 0.1835,0.4717, 0.6781
.net,-0.0210, 0.1251,0.9118, 0.6873
