Language,Questions,Positive,Negative,Views
rust, 0.9296, 0.8953, 0.7524, 0.5635
julia, 0.9138, 0.8998, 0.6767, 0.5138
elixir, 0.9068, 0.8986, 0.6874, 0.5648
go, 0.8978, 0.8504, 0.8738, 0.5743
vba, 0.8966, 0.7899, 0.9196, 0.0955
r, 0.8830, 0.8110, 0.9309, 0.3832
powershell, 0.8816, 0.7810, 0.9196, 0.2374
scala, 0.8635, 0.7267, 0.9278, 0.6464
sas, 0.8483, 0.6797, 0.8260, 0.4144
python, 0.8332, 0.7495, 0.9429, 0.2391
netlogo, 0.7826, 0.7233, 0.4120, 0.4690
javascript, 0.7731, 0.6797, 0.8601, 0.0256
bash, 0.7501, 0.5275, 0.8900,-0.4114
typescript, 0.7294, 0.6597, 0.7859, 0.4102
verilog, 0.7141, 0.3235, 0.7050, 0.2220
groovy, 0.6980, 0.4668, 0.7703, 0.4146
plsql, 0.6912, 0.1357, 0.7516,-0.3159
fortran, 0.6901, 0.5369, 0.5550, 0.1265
apex, 0.6885, 0.5099, 0.6410, 0.4271
html, 0.6869, 0.6112, 0.7745,-0.2298
awk, 0.6780, 0.4586, 0.8273,-0.2221
abap, 0.6748, 0.3783, 0.5680, 0.1428
labview, 0.6598, 0.4626, 0.5662, 0.1517
vhdl, 0.5939, 0.3399, 0.6542, 0.0566
java, 0.5794, 0.3443, 0.7675,-0.1868
f#, 0.5364, 0.5372, 0.2278,-0.0798
lua, 0.5338, 0.4072, 0.6096,-0.0383
assembly, 0.5323, 0.2744, 0.6410,-0.0213
haskell, 0.5281, 0.4103, 0.7245,-0.0055
kotlin, 0.5182, 0.4186, 0.6798, 0.2275
matlab, 0.5055, 0.3475, 0.5374,-0.1760
php, 0.4682, 0.3805, 0.6151,-0.1699
sql, 0.4438, 0.0859, 0.7543,-0.4938
prolog, 0.4083, 0.3871, 0.0927,-0.1181
cobol, 0.4005, 0.1002, 0.3219,-0.1475
common-lisp, 0.3930, 0.1924, 0.3442,-0.1287
c++, 0.3926, 0.0676, 0.8028,-0.4161
c#, 0.3836,-0.0909, 0.7839,-0.4626
c, 0.3758,-0.0285, 0.7296,-0.4946
vbscript, 0.3571, 0.2706, 0.6931,-0.3451
ada, 0.3382,-0.0314, 0.2824,-0.0057
dart, 0.3366, 0.2029, 0.5378, 0.0885
clojure, 0.2221, 0.0791, 0.5330,-0.2368
ruby, 0.1821,-0.0821, 0.6335,-0.3821
erlang, 0.1483,-0.0587, 0.3849,-0.1289
vb.net, 0.1109,-0.3808, 0.6198,-0.4506
scheme, 0.0906,-0.1516, 0.2101,-0.3077
d,-0.0582,-0.0891, 0.3100,-0.1872
coffeescript,-0.1028,-0.1772, 0.0358,-0.2068
lisp,-0.1472,-0.4948, 0.3713,-0.4307
perl,-0.2456,-0.4752, 0.4037,-0.6186
objective-c,-0.2814,-0.3157,-0.0384,-0.1806
delphi,-0.3185,-0.5276, 0.5071,-0.3860
.net,-0.6390,-0.7140, 0.6370,-0.6162
actionscript-3,-0.7034,-0.7112, 0.0845,-0.6065
