"","language","count","positive","negative","normalized views"
"15","ruby"," 0.9667"," 0.8798","0.8620"," 0.8718"
"3","c++"," 0.9225"," 0.8165","0.9082"," 0.8842"
"6","c#"," 0.9162"," 0.8880","0.9165"," 0.9273"
"55","vbscript"," 0.9122"," 0.6355","0.7882"," 0.7792"
"9","php"," 0.9035"," 0.6314","0.9291"," 0.7702"
"2","c"," 0.8985"," 0.8355","0.9086"," 0.8681"
"40","clojure"," 0.8975"," 0.7342","0.5938"," 0.5828"
"49","coffeescript"," 0.8884"," 0.8033","0.6276"," 0.6456"
"13","perl"," 0.8878"," 0.8806","0.8167"," 0.7417"
"14","matlab"," 0.8716"," 0.5956","0.9072"," 0.7983"
"11","objective-c"," 0.8461"," 0.9154","0.6860"," 0.8384"
"8","sql"," 0.8379"," 0.7356","0.9020"," 0.9186"
"1","java"," 0.8369"," 0.6476","0.9204"," 0.8380"
"28","lua"," 0.8245"," 0.4580","0.8391"," 0.4891"
"39","haskell"," 0.8061"," 0.4821","0.5731"," 0.2081"
"41","erlang"," 0.8032"," 0.6654","0.5154"," 0.3922"
"44","html"," 0.7623"," 0.3957","0.9231"," 0.8305"
"12","delphi"," 0.7578"," 0.8062","0.9018"," 0.8035"
"10","assembly"," 0.7461"," 0.5315","0.8240"," 0.4962"
"51","d"," 0.7313"," 0.6803","0.3118"," 0.3703"
"50","common-lisp"," 0.7255"," 0.4702","0.5745"," 0.2351"
"45","vhdl"," 0.7164"," 0.4659","0.6795"," 0.4647"
"23","fortran"," 0.7152"," 0.3144","0.7632"," 0.3432"
"38","awk"," 0.7145"," 0.3169","0.8081"," 0.6906"
"34","scheme"," 0.6978"," 0.6784","0.5580"," 0.5750"
"31","f#"," 0.6806"," 0.2358","0.4774","-0.0084"
"42","bash"," 0.6636"," 0.4007","0.8259"," 0.8357"
"7","javascript"," 0.6591"," 0.2792","0.8854"," 0.5943"
"53","plsql"," 0.6570"," 0.5914","0.8444"," 0.7297"
"27","lisp"," 0.6207"," 0.6888","0.6147"," 0.4420"
"26","prolog"," 0.6170"," 0.3287","0.5373"," 0.3793"
"17","groovy"," 0.5946"," 0.4042","0.7859","-0.1691"
"30","ada"," 0.5833"," 0.3902","0.4463"," 0.1317"
"46","verilog"," 0.5815"," 0.5080","0.7653"," 0.3140"
"48","cobol"," 0.5527"," 0.2551","0.4163"," 0.2220"
"25","scala"," 0.5237"," 0.2328","0.5507","-0.3334"
"21","sas"," 0.5065"," 0.0892","0.6727"," 0.1513"
"47","actionscript-3"," 0.4486"," 0.6517","0.6151"," 0.7010"
"52","netlogo"," 0.4213","-0.0353","0.3801","-0.3125"
"35","labview"," 0.3876","-0.0368","0.4656","-0.0096"
"16","vba"," 0.3856","-0.0355","0.7684"," 0.5380"
"5",".net"," 0.3690"," 0.6541","0.8993"," 0.6315"
"54","powershell"," 0.3375","-0.0534","0.6438"," 0.2986"
"20","r"," 0.3037","-0.1479","0.7521"," 0.1621"
"4","python"," 0.2752","-0.1187","0.6729"," 0.0157"
"32","apex"," 0.2643"," 0.0796","0.3900","-0.3851"
"22","abap"," 0.2038"," 0.0160","0.3762","-0.0775"
"19","go"," 0.1951","-0.2007","0.4475","-0.2273"
"18","swift"," 0.1109","-0.3808","0.6198","-0.4506"
"24","dart"," 0.1080","-0.1334","0.2261","-0.3919"
"37","julia"," 0.1054","-0.4333","0.4355","-0.5366"
"29","rust"," 0.0899","-0.4777","0.3326","-0.4758"
"43","elixir"," 0.0190","-0.3791","0.3537","-0.6139"
"36","typescript","-0.1703","-0.6122","0.2937","-0.6399"
"33","kotlin","-0.2597","-0.6503","0.2191","-0.5801"
