language,count,positive,negative,normalized views
powershell, 0.9801, 0.9546,0.9295, 0.7784
r, 0.9774, 0.9545,0.9551, 0.7541
scala, 0.9622, 0.8756,0.9092, 0.3951
go, 0.9498, 0.9138,0.8356, 0.5389
python, 0.9489, 0.9485,0.9602, 0.6368
sas, 0.9408, 0.8037,0.8279, 0.7167
javascript, 0.9353, 0.9061,0.9419, 0.8391
bash, 0.9251, 0.8210,0.9347, 0.4744
julia, 0.9047, 0.8120,0.6713, 0.0873
rust, 0.8989, 0.7899,0.7216, 0.1239
swift, 0.8966, 0.7899,0.9196, 0.0955
plsql, 0.8802, 0.4694,0.8039, 0.5522
html, 0.8769, 0.8510,0.8958, 0.7860
awk, 0.8734, 0.8045,0.8838, 0.6670
groovy, 0.8678, 0.6757,0.8427, 0.4368
fortran, 0.8642, 0.8187,0.6540, 0.6331
netlogo, 0.8546, 0.7356,0.4541, 0.2850
elixir, 0.8430, 0.7681,0.6543, 0.0267
apex, 0.8201, 0.6252,0.5802, 0.2025
verilog, 0.8185, 0.5922,0.7457, 0.6565
java, 0.7919, 0.6428,0.8848, 0.7618
abap, 0.7735, 0.5945,0.5777, 0.4063
vhdl, 0.7625, 0.6451,0.6519, 0.7313
lua, 0.7610, 0.7234,0.7546, 0.6783
typescript, 0.7598, 0.6602,0.7556,-0.0328
sql, 0.7429, 0.5250,0.8931, 0.5136
labview, 0.7280, 0.5224,0.5348, 0.2860
assembly, 0.7181, 0.5810,0.7392, 0.5954
haskell, 0.7140, 0.6823,0.7409, 0.3847
matlab, 0.7059, 0.6511,0.6948, 0.7234
php, 0.7009, 0.6078,0.7792, 0.7721
f#, 0.6377, 0.6692,0.3057,-0.0032
c++, 0.6376, 0.4251,0.8896, 0.5618
c#, 0.6359, 0.2489,0.8931, 0.5318
c, 0.6132, 0.3281,0.8129, 0.4340
vbscript, 0.5886, 0.4521,0.8124, 0.5524
kotlin, 0.5713, 0.4606,0.6618,-0.1057
common-lisp, 0.5546, 0.4478,0.3913, 0.1601
prolog, 0.5542, 0.5839,0.2533, 0.4532
ada, 0.5084, 0.2242,0.3440, 0.2791
dart, 0.5026, 0.4648,0.5433,-0.0942
cobol, 0.4978, 0.1605,0.3858, 0.1449
clojure, 0.4172, 0.3831,0.5295, 0.4187
ruby, 0.4094, 0.2094,0.7239, 0.4729
vb.net, 0.3856,-0.0355,0.7684, 0.5380
erlang, 0.3043, 0.0537,0.4700, 0.1498
scheme, 0.2632, 0.1060,0.3694, 0.3258
coffeescript, 0.1656, 0.1955,0.2371, 0.5734
d, 0.1239, 0.1438,0.2986, 0.0810
perl, 0.0270,-0.1860,0.5612, 0.1096
lisp,-0.0082,-0.2961,0.4332,-0.0576
objective-c,-0.0541,-0.0079,0.1939, 0.5509
delphi,-0.1174,-0.3239,0.6885, 0.3986
.net,-0.5164,-0.6334,0.7934,-0.1387
actionscript-3,-0.5476,-0.5943,0.2321,-0.0298
