language,count,positive,negative,normalized views
matlab, 0.9335, 0.7830,0.7600, 0.7409
php, 0.9308, 0.8189,0.8195, 0.6999
c++, 0.9227, 0.7707,0.8257, 0.7011
ruby, 0.9180, 0.7472,0.7872, 0.7157
vb.net, 0.9122, 0.6355,0.7882, 0.7792
c#, 0.9111, 0.7384,0.8585, 0.7698
java, 0.8970, 0.8037,0.8514, 0.7430
c, 0.8808, 0.7179,0.7996, 0.7013
lua, 0.8672, 0.6012,0.7196, 0.4310
sql, 0.8643, 0.6827,0.8414, 0.7393
html, 0.8630, 0.7269,0.8581, 0.7168
clojure, 0.8515, 0.7084,0.4823, 0.4212
haskell, 0.8423, 0.6572,0.5572, 0.1159
fortran, 0.8325, 0.5886,0.5777, 0.3785
awk, 0.8300, 0.5605,0.7858, 0.6312
vhdl, 0.7967, 0.6606,0.5704, 0.5065
bash, 0.7927, 0.6646,0.7805, 0.6386
assembly, 0.7884, 0.6268,0.7557, 0.4305
javascript, 0.7875, 0.6634,0.8530, 0.5444
coffeescript, 0.7857, 0.6259,0.4079, 0.6168
plsql, 0.7677, 0.6003,0.7702, 0.6444
perl, 0.7318, 0.4767,0.6818, 0.5875
common-lisp, 0.7205, 0.5278,0.5217, 0.0644
erlang, 0.7184, 0.5507,0.5123, 0.3544
groovy, 0.7060, 0.5928,0.7551,-0.0675
verilog, 0.6996, 0.6598,0.6161, 0.3339
f#, 0.6970, 0.4359,0.3065,-0.0457
scala, 0.6889, 0.6334,0.6373,-0.1853
objective-c, 0.6883, 0.6371,0.4502, 0.6787
sas, 0.6651, 0.4735,0.6315, 0.1276
prolog, 0.6397, 0.5484,0.3524, 0.3844
d, 0.6240, 0.5213,0.2401, 0.1493
scheme, 0.6195, 0.5531,0.4491, 0.4146
vba, 0.5886, 0.4521,0.8124, 0.5524
ada, 0.5804, 0.3158,0.3016, 0.1547
netlogo, 0.5781, 0.3869,0.3632,-0.2462
delphi, 0.5771, 0.4165,0.7623, 0.6380
cobol, 0.5620, 0.2272,0.3170, 0.2432
powershell, 0.5241, 0.4250,0.7170, 0.3374
labview, 0.5066, 0.2640,0.4591,-0.0007
r, 0.4993, 0.3694,0.7997, 0.2181
lisp, 0.4691, 0.2955,0.5641, 0.2007
python, 0.4440, 0.3266,0.7292, 0.0384
apex, 0.4013, 0.2942,0.4090,-0.3044
go, 0.3909, 0.3020,0.5213,-0.1185
swift, 0.3571, 0.2706,0.6931,-0.3451
abap, 0.3455, 0.2909,0.4635, 0.0087
julia, 0.3164, 0.1339,0.5731,-0.4462
rust, 0.3067, 0.1229,0.4119,-0.4179
elixir, 0.2438, 0.1956,0.4511,-0.4501
actionscript-3, 0.1967, 0.1451,0.5007, 0.5226
dart, 0.1416,-0.0383,0.3219,-0.3877
.net, 0.1290, 0.1545,0.8171, 0.4368
typescript, 0.0114,-0.1934,0.4390,-0.4925
kotlin,-0.1281,-0.3472,0.3141,-0.5059
