"","language","count","positive","negative","normalized views"
"45","vhdl"," 0.8986"," 0.8118","0.6891"," 0.7552"
"42","bash"," 0.8979"," 0.8138","0.8133"," 0.2159"
"38","awk"," 0.8899"," 0.7550","0.7520"," 0.4350"
"10","assembly"," 0.8859"," 0.7808","0.7518"," 0.5206"
"7","javascript"," 0.8771"," 0.7551","0.8051"," 0.6021"
"21","sas"," 0.8704"," 0.6776","0.6723"," 0.6072"
"44","html"," 0.8684"," 0.7806","0.7960"," 0.4965"
"1","java"," 0.8669"," 0.8258","0.8051"," 0.5210"
"52","plsql"," 0.8648"," 0.6370","0.7349"," 0.2988"
"25","scala"," 0.8637"," 0.7373","0.6703"," 0.4394"
"23","fortran"," 0.8557"," 0.7135","0.5914"," 0.4355"
"14","matlab"," 0.8427"," 0.8674","0.7370"," 0.5384"
"39","haskell"," 0.8292"," 0.8008","0.7188"," 0.3092"
"51","netlogo"," 0.8256"," 0.5872","0.3686"," 0.4221"
"16","vba"," 0.8185"," 0.5922","0.7457"," 0.6565"
"20","r"," 0.8139"," 0.5556","0.7482"," 0.6387"
"28","lua"," 0.8100"," 0.7987","0.6532"," 0.5077"
"53","powershell"," 0.8026"," 0.5849","0.6973"," 0.5801"
"2","c"," 0.8015"," 0.7258","0.8317"," 0.2098"
"3","c++"," 0.7874"," 0.7707","0.8480"," 0.3297"
"17","groovy"," 0.7819"," 0.6615","0.7362"," 0.3544"
"4","python"," 0.7797"," 0.5413","0.7421"," 0.4843"
"26","prolog"," 0.7794"," 0.7457","0.3474"," 0.4615"
"8","sql"," 0.7783"," 0.7416","0.7917"," 0.2700"
"9","php"," 0.7775"," 0.7478","0.7373"," 0.5417"
"19","go"," 0.7594"," 0.5281","0.6136"," 0.5343"
"31","f#"," 0.7209"," 0.5319","0.5218"," 0.0011"
"37","julia"," 0.7189"," 0.3109","0.4819"," 0.2032"
"6","c#"," 0.7155"," 0.6194","0.7898"," 0.2538"
"18","swift"," 0.7141"," 0.3235","0.7050"," 0.2220"
"55","vbscript"," 0.6996"," 0.6598","0.6161"," 0.3339"
"29","rust"," 0.6983"," 0.2579","0.5270"," 0.2201"
"32","apex"," 0.6897"," 0.5055","0.4260"," 0.2560"
"49","common-lisp"," 0.6886"," 0.6296","0.4379"," 0.1847"
"47","cobol"," 0.6800"," 0.4006","0.4257"," 0.1205"
"43","elixir"," 0.6217"," 0.2546","0.5033"," 0.2057"
"30","ada"," 0.6105"," 0.3995","0.4200"," 0.2577"
"35","labview"," 0.6062"," 0.2819","0.3970"," 0.2756"
"22","abap"," 0.5954"," 0.4005","0.3803"," 0.3003"
"40","clojure"," 0.5904"," 0.7081","0.6845"," 0.2018"
"54","vb.net"," 0.5815"," 0.5080","0.7653"," 0.3140"
"15","ruby"," 0.5789"," 0.6563","0.7316"," 0.2455"
"34","scheme"," 0.5739"," 0.5105","0.4783"," 0.3706"
"41","erlang"," 0.4907"," 0.3940","0.4532"," 0.0456"
"36","typescript"," 0.4764"," 0.0161","0.4863"," 0.0309"
"24","dart"," 0.4228"," 0.2831","0.3759","-0.0631"
"48","coffeescript"," 0.3673"," 0.6128","0.3516"," 0.2989"
"50","d"," 0.3337"," 0.5575","0.3621","-0.0100"
"33","kotlin"," 0.3276","-0.1089","0.4148","-0.0731"
"27","lisp"," 0.3037"," 0.2182","0.5501","-0.0057"
"13","perl"," 0.2595"," 0.3496","0.5897","-0.1221"
"11","objective-c"," 0.1889"," 0.5109","0.3508"," 0.3229"
"12","delphi"," 0.1108"," 0.1862","0.7241"," 0.1758"
"46","actionscript-3","-0.3082","-0.1082","0.3443","-0.1765"
"5",".net","-0.3380","-0.1342","0.6941","-0.2717"
