language,count,positive,negative,normalized views
matlab, 0.9130, 0.8519,0.6660, 0.6458
java, 0.9081, 0.8141,0.7174, 0.6359
awk, 0.8990, 0.7753,0.7087, 0.5232
verilog, 0.8986, 0.8118,0.6891, 0.7552
html, 0.8984, 0.8103,0.7153, 0.6452
assembly, 0.8959, 0.8109,0.6849, 0.5613
bash, 0.8854, 0.8189,0.7409, 0.3910
javascript, 0.8745, 0.7830,0.7197, 0.6715
plsql, 0.8738, 0.6883,0.6948, 0.4342
haskell, 0.8652, 0.7880,0.6583, 0.3031
c, 0.8644, 0.7184,0.7907, 0.3497
lua, 0.8640, 0.7768,0.5399, 0.5114
fortran, 0.8610, 0.7189,0.5999, 0.5715
c++, 0.8581, 0.7540,0.7708, 0.4507
php, 0.8506, 0.7509,0.6619, 0.6344
sql, 0.8355, 0.7547,0.6743, 0.4272
sas, 0.8326, 0.6561,0.6310, 0.6355
scala, 0.8273, 0.7462,0.5604, 0.2961
prolog, 0.8242, 0.8015,0.3320, 0.4295
c#, 0.7991, 0.6024,0.6916, 0.4165
vbscript, 0.7967, 0.6606,0.5704, 0.5065
netlogo, 0.7845, 0.5693,0.3810, 0.3489
vba, 0.7625, 0.6451,0.6519, 0.7313
groovy, 0.7509, 0.6062,0.6707, 0.2870
common-lisp, 0.7284, 0.5614,0.3899, 0.1662
f#, 0.7266, 0.5753,0.4106,-0.0559
r, 0.7244, 0.6083,0.6667, 0.5996
powershell, 0.7212, 0.6078,0.6334, 0.5784
vb.net, 0.7164, 0.4659,0.6795, 0.4647
ruby, 0.7097, 0.6166,0.7347, 0.3820
clojure, 0.7082, 0.6877,0.5928, 0.2849
python, 0.6857, 0.5985,0.6150, 0.4252
go, 0.6553, 0.5516,0.4528, 0.4288
scheme, 0.6320, 0.5509,0.4131, 0.3156
labview, 0.6281, 0.3304,0.4717, 0.2801
cobol, 0.6242, 0.3124,0.4263, 0.0845
ada, 0.6105, 0.3665,0.3084, 0.2128
apex, 0.6039, 0.5416,0.4989, 0.1838
julia, 0.5947, 0.3479,0.3081, 0.0516
swift, 0.5939, 0.3399,0.6542, 0.0566
erlang, 0.5938, 0.3948,0.4762, 0.1061
rust, 0.5881, 0.3242,0.3574, 0.1092
abap, 0.5290, 0.3776,0.3007, 0.2704
coffeescript, 0.5193, 0.5674,0.3468, 0.4928
elixir, 0.4985, 0.3151,0.4164, 0.0143
d, 0.4231, 0.4693,0.4536, 0.0654
perl, 0.4204, 0.2871,0.5677, 0.0074
lisp, 0.3783, 0.1605,0.4714,-0.0006
objective-c, 0.3572, 0.4700,0.3121, 0.4821
dart, 0.3527, 0.3237,0.1822,-0.1030
typescript, 0.3274, 0.1089,0.3190,-0.1042
delphi, 0.2581, 0.1449,0.6388, 0.3250
kotlin, 0.1763,-0.0456,0.2713,-0.1603
actionscript-3,-0.1459,-0.1433,0.3589,-0.0408
.net,-0.2175,-0.1783,0.6371,-0.1359
