date,count
2008-08,446
2008-09,1545
2008-10,1567
2008-11,1207
2008-12,1137
2009-01,1527
2009-02,1622
2009-03,1788
2009-04,1728
2009-05,1958
2009-06,1978
2009-07,2167
2009-08,2131
2009-09,1989
2009-10,2142
2009-11,2034
2009-12,2002
2010-01,2342
2010-02,2383
2010-03,2807
2010-04,2513
2010-05,2479
2010-06,2495
2010-07,2610
2010-08,2743
2010-09,2693
2010-10,2535
2010-11,2728
2010-12,2593
2011-01,3089
2011-02,3233
2011-03,3720
2011-04,3419
2011-05,3552
2011-06,3456
2011-07,3431
2011-08,3341
2011-09,3112
2011-10,2916
2011-11,2971
2011-12,2797
2012-01,3129
2012-02,3128
2012-03,3264
2012-04,2876
2012-05,3194
2012-06,3066
2012-07,3198
2012-08,3027
2012-09,2932
2012-10,3127
2012-11,3099
2012-12,2488
2013-01,3082
2013-02,2827
2013-03,3017
2013-04,2952
2013-05,2746
2013-06,2837
2013-07,3014
2013-08,2827
2013-09,2498
2013-10,2873
2013-11,2573
2013-12,2312
2014-01,2715
2014-02,2511
2014-03,2697
2014-04,2497
2014-05,2184
2014-06,2166
2014-07,2239
2014-08,2013
2014-09,2021
2014-10,2213
2014-11,1937
2014-12,1824
2015-01,1864
2015-02,1842
2015-03,1955
2015-04,1914
2015-05,1923
2015-06,2128
2015-07,2026
2015-08,1921
2015-09,2115
2015-10,2034
2015-11,1822
2015-12,1729
2016-01,1746
2016-02,1886
2016-03,1923
2016-04,1938
2016-05,1892
2016-06,1899
2016-07,1739
2016-08,1873
2016-09,1572
2016-10,1601
2016-11,1634
2016-12,1498
2017-01,1634
2017-02,1601
2017-03,1866
2017-04,1490
2017-05,1647
2017-06,1647
2017-07,1599
2017-08,1534
2017-09,1374
2017-10,1490
2017-11,1395
2017-12,1204
2018-01,1345
2018-02,1400
2018-03,1601
2018-04,1553
2018-05,1701
2018-06,1549
2018-07,1611
2018-08,1596
2018-09,1447
2018-10,1649
2018-11,1516
2018-12,1265
2019-01,1437
2019-02,1654
