date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,23
2012-07,27
2012-08,29
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,26
2013-05,0
2013-06,0
2013-07,23
2013-08,23
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,23
2015-08,22
2015-09,27
2015-10,0
2015-11,0
2015-12,21
2016-01,0
2016-02,30
2016-03,37
2016-04,22
2016-05,0
2016-06,0
2016-07,0
2016-08,36
2016-09,0
2016-10,0
2016-11,22
2016-12,24
2017-01,26
2017-02,27
2017-03,0
2017-04,22
2017-05,27
2017-06,33
2017-07,38
2017-08,35
2017-09,21
2017-10,24
2017-11,29
2017-12,24
2018-01,25
2018-02,32
2018-03,0
2018-04,28
2018-05,29
2018-06,27
2018-07,52
2018-08,42
2018-09,33
2018-10,50
2018-11,48
2018-12,41
2019-01,32
2019-02,25
