date,count
2008-09,27
2009-01,22
2009-02,37
2009-03,23
2009-04,49
2009-05,47
2009-06,49
2009-07,32
2009-08,48
2009-09,63
2009-10,74
2009-11,83
2009-12,62
2010-01,101
2010-02,69
2010-03,122
2010-04,124
2010-05,109
2010-06,91
2010-07,98
2010-08,85
2010-09,117
2010-10,123
2010-11,164
2010-12,123
2011-01,134
2011-02,146
2011-03,193
2011-04,158
2011-05,158
2011-06,140
2011-07,141
2011-08,158
2011-09,155
2011-10,212
2011-11,211
2011-12,228
2012-01,169
2012-02,233
2012-03,261
2012-04,276
2012-05,229
2012-06,204
2012-07,201
2012-08,189
2012-09,225
2012-10,313
2012-11,304
2012-12,265
2013-01,302
2013-02,322
2013-03,367
2013-04,334
2013-05,301
2013-06,302
2013-07,300
2013-08,214
2013-09,295
2013-10,381
2013-11,420
2013-12,357
2014-01,338
2014-02,376
2014-03,455
2014-04,364
2014-05,336
2014-06,272
2014-07,216
2014-08,183
2014-09,287
2014-10,391
2014-11,389
2014-12,328
2015-01,331
2015-02,361
2015-03,390
2015-04,443
2015-05,373
2015-06,268
2015-07,261
2015-08,216
2015-09,260
2015-10,433
2015-11,401
2015-12,354
2016-01,249
2016-02,349
2016-03,439
2016-04,412
2016-05,326
2016-06,289
2016-07,198
2016-08,256
2016-09,335
2016-10,395
2016-11,417
2016-12,318
2017-01,307
2017-02,302
2017-03,373
2017-04,324
2017-05,350
2017-06,243
2017-07,224
2017-08,218
2017-09,228
2017-10,335
2017-11,392
2017-12,249
2018-01,252
2018-02,282
2018-03,331
2018-04,341
2018-05,322
2018-06,215
2018-07,193
2018-08,185
2018-09,272
2018-10,355
2018-11,336
2018-12,258
2019-01,248
2019-02,281
