date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,42
2009-11,0
2009-12,0
2010-01,41
2010-02,30
2010-03,28
2010-04,46
2010-05,0
2010-06,36
2010-07,35
2010-08,50
2010-09,50
2010-10,37
2010-11,45
2010-12,54
2011-01,46
2011-02,42
2011-03,76
2011-04,59
2011-05,62
2011-06,91
2011-07,44
2011-08,53
2011-09,70
2011-10,79
2011-11,93
2011-12,101
2012-01,112
2012-02,84
2012-03,115
2012-04,134
2012-05,124
2012-06,148
2012-07,184
2012-08,140
2012-09,161
2012-10,208
2012-11,140
2012-12,165
2013-01,209
2013-02,218
2013-03,263
2013-04,257
2013-05,242
2013-06,260
2013-07,269
2013-08,253
2013-09,249
2013-10,299
2013-11,277
2013-12,277
2014-01,295
2014-02,327
2014-03,347
2014-04,315
2014-05,322
2014-06,290
2014-07,347
2014-08,260
2014-09,276
2014-10,312
2014-11,329
2014-12,265
2015-01,247
2015-02,331
2015-03,347
2015-04,331
2015-05,297
2015-06,325
2015-07,311
2015-08,244
2015-09,256
2015-10,282
2015-11,253
2015-12,245
2016-01,258
2016-02,289
2016-03,380
2016-04,290
2016-05,323
2016-06,265
2016-07,274
2016-08,290
2016-09,291
2016-10,269
2016-11,302
2016-12,253
2017-01,221
2017-02,334
2017-03,346
2017-04,325
2017-05,320
2017-06,293
2017-07,244
2017-08,289
2017-09,268
2017-10,304
2017-11,258
2017-12,199
2018-01,261
2018-02,292
2018-03,283
2018-04,263
2018-05,288
2018-06,223
2018-07,161
2018-08,226
2018-09,194
2018-10,247
2018-11,236
2018-12,190
2019-01,216
2019-02,239
