date,count
2008-08,22
2008-09,63
2008-10,57
2008-11,39
2008-12,42
2009-01,60
2009-02,78
2009-03,99
2009-04,66
2009-05,99
2009-06,109
2009-07,111
2009-08,113
2009-09,117
2009-10,153
2009-11,127
2009-12,120
2010-01,160
2010-02,152
2010-03,222
2010-04,207
2010-05,183
2010-06,196
2010-07,195
2010-08,230
2010-09,271
2010-10,254
2010-11,308
2010-12,295
2011-01,317
2011-02,304
2011-03,375
2011-04,381
2011-05,406
2011-06,391
2011-07,404
2011-08,456
2011-09,403
2011-10,454
2011-11,518
2011-12,559
2012-01,603
2012-02,601
2012-03,691
2012-04,649
2012-05,681
2012-06,657
2012-07,671
2012-08,712
2012-09,720
2012-10,798
2012-11,807
2012-12,686
2013-01,848
2013-02,913
2013-03,1050
2013-04,939
2013-05,994
2013-06,909
2013-07,1022
2013-08,1091
2013-09,1055
2013-10,1197
2013-11,1337
2013-12,1159
2014-01,1331
2014-02,1414
2014-03,1433
2014-04,1330
2014-05,1230
2014-06,1192
2014-07,1248
2014-08,1160
2014-09,1237
2014-10,1290
2014-11,1276
2014-12,1050
2015-01,1233
2015-02,1312
2015-03,1458
2015-04,1410
2015-05,1261
2015-06,1381
2015-07,1287
2015-08,1185
2015-09,1136
2015-10,1322
2015-11,1259
2015-12,1188
2016-01,1253
2016-02,1404
2016-03,1435
2016-04,1547
2016-05,1422
2016-06,1341
2016-07,1302
2016-08,1410
2016-09,1288
2016-10,1279
2016-11,1288
2016-12,1175
2017-01,1229
2017-02,1303
2017-03,1596
2017-04,1430
2017-05,1444
2017-06,1415
2017-07,1337
2017-08,1313
2017-09,1197
2017-10,1433
2017-11,1304
2017-12,1108
2018-01,1265
2018-02,1197
2018-03,1293
2018-04,1212
2018-05,1156
2018-06,1105
2018-07,1102
2018-08,1092
2018-09,1127
2018-10,1194
2018-11,1150
2018-12,945
2019-01,1120
2019-02,1199
