date,count
2008-08,509
2008-09,1646
2008-10,1988
2008-11,1731
2008-12,1596
2009-01,2375
2009-02,2597
2009-03,3162
2009-04,3322
2009-05,3558
2009-06,3887
2009-07,4409
2009-08,4458
2009-09,4356
2009-10,4727
2009-11,4680
2009-12,4497
2010-01,5119
2010-02,5110
2010-03,6042
2010-04,5786
2010-05,5951
2010-06,6162
2010-07,6693
2010-08,6972
2010-09,6412
2010-10,6751
2010-11,7327
2010-12,7118
2011-01,8021
2011-02,8262
2011-03,10039
2011-04,9331
2011-05,10083
2011-06,9830
2011-07,9662
2011-08,10116
2011-09,9349
2011-10,9260
2011-11,9952
2011-12,9364
2012-01,10515
2012-02,10849
2012-03,11714
2012-04,11220
2012-05,11671
2012-06,11396
2012-07,12408
2012-08,12009
2012-09,11315
2012-10,12771
2012-11,12276
2012-12,10994
2013-01,12856
2013-02,12662
2013-03,14374
2013-04,14015
2013-05,13587
2013-06,12885
2013-07,14297
2013-08,13925
2013-09,13847
2013-10,15279
2013-11,14683
2013-12,13704
2014-01,15431
2014-02,15205
2014-03,16315
2014-04,15439
2014-05,14031
2014-06,12630
2014-07,13808
2014-08,12598
2014-09,12438
2014-10,12669
2014-11,11965
2014-12,11205
2015-01,11857
2015-02,11873
2015-03,13353
2015-04,13193
2015-05,13468
2015-06,13646
2015-07,14223
2015-08,13321
2015-09,12990
2015-10,12871
2015-11,12466
2015-12,12235
2016-01,12432
2016-02,12827
2016-03,13708
2016-04,13827
2016-05,13590
2016-06,13161
2016-07,12093
2016-08,12810
2016-09,11194
2016-10,11542
2016-11,11738
2016-12,10777
2017-01,11792
2017-02,11604
2017-03,13090
2017-04,11184
2017-05,12104
2017-06,11407
2017-07,11311
2017-08,11069
2017-09,9981
2017-10,10325
2017-11,9914
2017-12,8712
2018-01,9500
2018-02,8751
2018-03,10869
2018-04,10286
2018-05,11076
2018-06,9849
2018-07,10479
2018-08,10576
2018-09,9403
2018-10,10476
2018-11,9586
2018-12,8509
2019-01,9940
2019-02,10545
