date,count
2008-08,164
2008-09,760
2008-10,814
2008-11,737
2008-12,633
2009-01,854
2009-02,847
2009-03,1058
2009-04,1023
2009-05,1220
2009-06,1255
2009-07,1468
2009-08,1406
2009-09,1467
2009-10,1689
2009-11,1758
2009-12,1659
2010-01,2004
2010-02,2278
2010-03,2440
2010-04,2494
2010-05,2420
2010-06,2828
2010-07,2689
2010-08,2643
2010-09,2745
2010-10,2936
2010-11,3374
2010-12,3144
2011-01,3511
2011-02,3457
2011-03,4194
2011-04,4183
2011-05,3900
2011-06,3830
2011-07,3858
2011-08,3965
2011-09,3958
2011-10,4368
2011-11,4506
2011-12,4377
2012-01,4569
2012-02,5133
2012-03,5275
2012-04,5349
2012-05,5020
2012-06,4686
2012-07,5308
2012-08,5175
2012-09,4926
2012-10,5923
2012-11,6297
2012-12,5702
2013-01,6075
2013-02,6130
2013-03,7241
2013-04,7195
2013-05,6882
2013-06,6236
2013-07,6605
2013-08,6278
2013-09,6586
2013-10,8029
2013-11,8180
2013-12,7052
2014-01,7735
2014-02,7723
2014-03,8713
2014-04,8174
2014-05,6843
2014-06,5728
2014-07,6327
2014-08,5929
2014-09,6254
2014-10,6889
2014-11,6623
2014-12,6127
2015-01,6188
2015-02,6505
2015-03,7427
2015-04,7186
2015-05,6859
2015-06,6551
2015-07,6744
2015-08,5911
2015-09,5942
2015-10,7085
2015-11,7130
2015-12,6595
2016-01,6133
2016-02,6593
2016-03,7085
2016-04,6944
2016-05,6170
2016-06,5761
2016-07,5508
2016-08,5033
2016-09,5181
2016-10,6016
2016-11,6134
2016-12,5267
2017-01,5694
2017-02,5218
2017-03,6274
2017-04,5921
2017-05,5345
2017-06,4723
2017-07,5071
2017-08,4825
2017-09,4513
2017-10,5264
2017-11,5078
2017-12,4513
2018-01,4815
2018-02,4648
2018-03,5541
2018-04,5014
2018-05,5010
2018-06,4416
2018-07,4221
2018-08,4218
2018-09,4025
2018-10,4664
2018-11,4731
2018-12,3922
2019-01,4287
2019-02,4692
