date,count
2008-08,85
2008-09,322
2008-10,303
2008-11,258
2008-12,185
2009-01,321
2009-02,333
2009-03,431
2009-04,459
2009-05,479
2009-06,506
2009-07,542
2009-08,533
2009-09,572
2009-10,772
2009-11,968
2009-12,851
2010-01,983
2010-02,1035
2010-03,1120
2010-04,1185
2010-05,1180
2010-06,1160
2010-07,1288
2010-08,1371
2010-09,1388
2010-10,1445
2010-11,1676
2010-12,1470
2011-01,1463
2011-02,1643
2011-03,2109
2011-04,2045
2011-05,1828
2011-06,1771
2011-07,1660
2011-08,1828
2011-09,1920
2011-10,2143
2011-11,2205
2011-12,2012
2012-01,2235
2012-02,2419
2012-03,2745
2012-04,2674
2012-05,2491
2012-06,2324
2012-07,2389
2012-08,2330
2012-09,2538
2012-10,3157
2012-11,3197
2012-12,2582
2013-01,2916
2013-02,3118
2013-03,3467
2013-04,3566
2013-05,3221
2013-06,2967
2013-07,3030
2013-08,3022
2013-09,3412
2013-10,4257
2013-11,4302
2013-12,3520
2014-01,3758
2014-02,3995
2014-03,4599
2014-04,4039
2014-05,3293
2014-06,2790
2014-07,2861
2014-08,2695
2014-09,3259
2014-10,3832
2014-11,3702
2014-12,3179
2015-01,3232
2015-02,3391
2015-03,3933
2015-04,3972
2015-05,3537
2015-06,3181
2015-07,2830
2015-08,2592
2015-09,3106
2015-10,3701
2015-11,3637
2015-12,3107
2016-01,3067
2016-02,3292
2016-03,3475
2016-04,3376
2016-05,2739
2016-06,2318
2016-07,2362
2016-08,2231
2016-09,2530
2016-10,3238
2016-11,3287
2016-12,2817
2017-01,2777
2017-02,2747
2017-03,2988
2017-04,2881
2017-05,2757
2017-06,2380
2017-07,2066
2017-08,2063
2017-09,2120
2017-10,2816
2017-11,2982
2017-12,2224
2018-01,2249
2018-02,2174
2018-03,2577
2018-04,2309
2018-05,2493
2018-06,1927
2018-07,1678
2018-08,1776
2018-09,1949
2018-10,2609
2018-11,2686
2018-12,2378
2019-01,2468
2019-02,2437
