date,count
2009-06,25
2009-07,55
2009-08,29
2009-09,29
2009-10,59
2009-11,46
2009-12,38
2010-01,37
2010-02,40
2010-03,40
2010-04,45
2010-05,67
2010-06,77
2010-07,95
2010-08,100
2010-09,90
2010-10,78
2010-11,85
2010-12,93
2011-01,105
2011-02,94
2011-03,101
2011-04,110
2011-05,76
2011-06,71
2011-07,96
2011-08,99
2011-09,82
2011-10,173
2011-11,107
2011-12,136
2012-01,133
2012-02,151
2012-03,140
2012-04,186
2012-05,169
2012-06,210
2012-07,167
2012-08,182
2012-09,164
2012-10,148
2012-11,113
2012-12,113
2013-01,163
2013-02,189
2013-03,239
2013-04,220
2013-05,189
2013-06,167
2013-07,174
2013-08,167
2013-09,186
2013-10,192
2013-11,173
2013-12,198
2014-01,217
2014-02,207
2014-03,188
2014-04,236
2014-05,176
2014-06,145
2014-07,167
2014-08,166
2014-09,206
2014-10,222
2014-11,171
2014-12,165
2015-01,177
2015-02,174
2015-03,188
2015-04,172
2015-05,160
2015-06,147
2015-07,168
2015-08,215
2015-09,175
2015-10,145
2015-11,164
2015-12,133
2016-01,210
2016-02,244
2016-03,176
2016-04,186
2016-05,195
2016-06,142
2016-07,148
2016-08,156
2016-09,152
2016-10,140
2016-11,146
2016-12,137
2017-01,139
2017-02,119
2017-03,141
2017-04,128
2017-05,128
2017-06,109
2017-07,104
2017-08,93
2017-09,79
2017-10,102
2017-11,99
2017-12,91
2018-01,101
2018-02,94
2018-03,108
2018-04,82
2018-05,94
2018-06,59
2018-07,57
2018-08,68
2018-09,88
2018-10,81
2018-11,84
2018-12,76
2019-01,71
2019-02,62
