date,count
2012-04,24
2012-05,23
2012-06,25
2012-07,34
2012-08,42
2012-09,33
2012-10,81
2012-11,76
2012-12,87
2013-01,101
2013-02,86
2013-03,90
2013-04,160
2013-05,123
2013-06,137
2013-07,115
2013-08,109
2013-09,96
2013-10,115
2013-11,174
2013-12,263
2014-01,287
2014-02,265
2014-03,238
2014-04,210
2014-05,171
2014-06,193
2014-07,192
2014-08,192
2014-09,179
2014-10,195
2014-11,169
2014-12,144
2015-01,113
2015-02,123
2015-03,115
2015-04,129
2015-05,108
2015-06,80
2015-07,96
2015-08,61
2015-09,61
2015-10,74
2015-11,84
2015-12,47
2016-01,68
2016-02,75
2016-03,58
2016-04,49
2016-05,37
2016-06,62
2016-07,45
2016-08,65
2016-09,54
2016-10,39
2016-11,46
2016-12,53
2017-01,53
2017-02,51
2017-03,59
2017-04,53
2017-05,107
2017-06,105
2017-07,102
2017-08,88
2017-09,72
2017-10,91
2017-11,68
2017-12,71
2018-01,63
2018-02,103
2018-03,308
2018-04,348
2018-05,411
2018-06,455
2018-07,541
2018-08,541
2018-09,520
2018-10,559
2018-11,524
2018-12,618
2019-01,944
2019-02,823
