date,count
2008-08,0
2008-09,105
2008-10,113
2008-11,141
2008-12,135
2009-01,164
2009-02,168
2009-03,162
2009-04,185
2009-05,202
2009-06,223
2009-07,269
2009-08,246
2009-09,252
2009-10,256
2009-11,274
2009-12,283
2010-01,303
2010-02,283
2010-03,318
2010-04,271
2010-05,280
2010-06,329
2010-07,334
2010-08,354
2010-09,319
2010-10,361
2010-11,390
2010-12,321
2011-01,371
2011-02,362
2011-03,519
2011-04,402
2011-05,477
2011-06,458
2011-07,430
2011-08,424
2011-09,415
2011-10,465
2011-11,507
2011-12,577
2012-01,514
2012-02,473
2012-03,499
2012-04,483
2012-05,482
2012-06,421
2012-07,446
2012-08,404
2012-09,387
2012-10,479
2012-11,444
2012-12,429
2013-01,484
2013-02,450
2013-03,527
2013-04,520
2013-05,541
2013-06,477
2013-07,510
2013-08,450
2013-09,491
2013-10,527
2013-11,462
2013-12,450
2014-01,493
2014-02,492
2014-03,441
2014-04,393
2014-05,475
2014-06,417
2014-07,446
2014-08,426
2014-09,448
2014-10,411
2014-11,431
2014-12,317
2015-01,384
2015-02,416
2015-03,412
2015-04,392
2015-05,400
2015-06,389
2015-07,385
2015-08,388
2015-09,359
2015-10,423
2015-11,394
2015-12,314
2016-01,318
2016-02,359
2016-03,341
2016-04,323
2016-05,339
2016-06,282
2016-07,245
2016-08,339
2016-09,288
2016-10,270
2016-11,273
2016-12,254
2017-01,285
2017-02,304
2017-03,305
2017-04,263
2017-05,320
2017-06,246
2017-07,209
2017-08,290
2017-09,266
2017-10,223
2017-11,199
2017-12,189
2018-01,193
2018-02,213
2018-03,233
2018-04,214
2018-05,205
2018-06,198
2018-07,218
2018-08,226
2018-09,199
2018-10,238
2018-11,195
2018-12,190
2019-01,238
2019-02,241
