date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,32
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,22
2014-10,0
2014-11,0
2014-12,29
2015-01,25
2015-02,37
2015-03,47
2015-04,45
2015-05,58
2015-06,61
2015-07,69
2015-08,68
2015-09,120
2015-10,127
2015-11,138
2015-12,125
2016-01,129
2016-02,126
2016-03,147
2016-04,158
2016-05,167
2016-06,166
2016-07,189
2016-08,209
2016-09,202
2016-10,167
2016-11,147
2016-12,161
2017-01,141
2017-02,176
2017-03,161
2017-04,195
2017-05,193
2017-06,177
2017-07,125
2017-08,138
2017-09,142
2017-10,166
2017-11,142
2017-12,132
2018-01,165
2018-02,145
2018-03,146
2018-04,116
2018-05,134
2018-06,101
2018-07,98
2018-08,134
2018-09,99
2018-10,100
2018-11,98
2018-12,94
2019-01,78
2019-02,100
