date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,21
2009-03,0
2009-04,0
2009-05,23
2009-06,33
2009-07,32
2009-08,41
2009-09,38
2009-10,28
2009-11,65
2009-12,66
2010-01,56
2010-02,66
2010-03,54
2010-04,33
2010-05,36
2010-06,43
2010-07,26
2010-08,45
2010-09,52
2010-10,48
2010-11,88
2010-12,71
2011-01,73
2011-02,67
2011-03,75
2011-04,66
2011-05,83
2011-06,66
2011-07,98
2011-08,73
2011-09,53
2011-10,86
2011-11,72
2011-12,66
2012-01,59
2012-02,89
2012-03,74
2012-04,79
2012-05,75
2012-06,88
2012-07,52
2012-08,83
2012-09,87
2012-10,103
2012-11,110
2012-12,76
2013-01,86
2013-02,96
2013-03,107
2013-04,82
2013-05,71
2013-06,76
2013-07,59
2013-08,86
2013-09,80
2013-10,98
2013-11,76
2013-12,92
2014-01,84
2014-02,69
2014-03,123
2014-04,105
2014-05,106
2014-06,58
2014-07,77
2014-08,76
2014-09,74
2014-10,105
2014-11,93
2014-12,93
2015-01,101
2015-02,101
2015-03,75
2015-04,81
2015-05,75
2015-06,82
2015-07,65
2015-08,70
2015-09,105
2015-10,94
2015-11,71
2015-12,71
2016-01,86
2016-02,81
2016-03,95
2016-04,94
2016-05,79
2016-06,76
2016-07,96
2016-08,98
2016-09,77
2016-10,66
2016-11,75
2016-12,74
2017-01,86
2017-02,67
2017-03,84
2017-04,58
2017-05,77
2017-06,61
2017-07,49
2017-08,60
2017-09,56
2017-10,68
2017-11,61
2017-12,31
2018-01,42
2018-02,47
2018-03,64
2018-04,63
2018-05,57
2018-06,48
2018-07,42
2018-08,43
2018-09,34
2018-10,44
2018-11,42
2018-12,56
2019-01,40
2019-02,40
