date,count
2008-08,0
2008-09,21
2008-10,25
2008-11,0
2008-12,28
2009-01,35
2009-02,28
2009-03,24
2009-04,33
2009-05,47
2009-06,42
2009-07,65
2009-08,27
2009-09,34
2009-10,46
2009-11,61
2009-12,67
2010-01,50
2010-02,90
2010-03,64
2010-04,63
2010-05,117
2010-06,104
2010-07,80
2010-08,81
2010-09,92
2010-10,75
2010-11,112
2010-12,96
2011-01,82
2011-02,104
2011-03,126
2011-04,139
2011-05,115
2011-06,102
2011-07,88
2011-08,116
2011-09,123
2011-10,108
2011-11,110
2011-12,90
2012-01,70
2012-02,141
2012-03,137
2012-04,92
2012-05,87
2012-06,110
2012-07,97
2012-08,95
2012-09,109
2012-10,96
2012-11,92
2012-12,89
2013-01,97
2013-02,105
2013-03,106
2013-04,119
2013-05,97
2013-06,96
2013-07,100
2013-08,96
2013-09,131
2013-10,145
2013-11,117
2013-12,129
2014-01,172
2014-02,129
2014-03,158
2014-04,139
2014-05,109
2014-06,122
2014-07,144
2014-08,126
2014-09,96
2014-10,109
2014-11,153
2014-12,123
2015-01,129
2015-02,170
2015-03,160
2015-04,132
2015-05,159
2015-06,162
2015-07,117
2015-08,114
2015-09,121
2015-10,141
2015-11,174
2015-12,124
2016-01,164
2016-02,176
2016-03,172
2016-04,140
2016-05,117
2016-06,137
2016-07,144
2016-08,134
2016-09,184
2016-10,151
2016-11,160
2016-12,122
2017-01,146
2017-02,134
2017-03,149
2017-04,157
2017-05,141
2017-06,91
2017-07,107
2017-08,115
2017-09,100
2017-10,139
2017-11,105
2017-12,121
2018-01,123
2018-02,86
2018-03,132
2018-04,82
2018-05,109
2018-06,113
2018-07,85
2018-08,94
2018-09,95
2018-10,123
2018-11,120
2018-12,111
2019-01,103
2019-02,75
