date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,23
2010-08,23
2010-09,0
2010-10,24
2010-11,0
2010-12,28
2011-01,32
2011-02,30
2011-03,34
2011-04,55
2011-05,32
2011-06,34
2011-07,21
2011-08,40
2011-09,41
2011-10,42
2011-11,36
2011-12,57
2012-01,62
2012-02,55
2012-03,64
2012-04,69
2012-05,62
2012-06,55
2012-07,68
2012-08,67
2012-09,48
2012-10,70
2012-11,76
2012-12,70
2013-01,86
2013-02,78
2013-03,93
2013-04,94
2013-05,83
2013-06,89
2013-07,83
2013-08,81
2013-09,91
2013-10,157
2013-11,118
2013-12,92
2014-01,112
2014-02,97
2014-03,139
2014-04,106
2014-05,109
2014-06,146
2014-07,117
2014-08,79
2014-09,87
2014-10,110
2014-11,133
2014-12,115
2015-01,88
2015-02,118
2015-03,138
2015-04,129
2015-05,121
2015-06,151
2015-07,151
2015-08,147
2015-09,121
2015-10,105
2015-11,110
2015-12,77
2016-01,109
2016-02,112
2016-03,138
2016-04,86
2016-05,94
2016-06,133
2016-07,136
2016-08,118
2016-09,92
2016-10,116
2016-11,112
2016-12,99
2017-01,96
2017-02,86
2017-03,128
2017-04,115
2017-05,108
2017-06,138
2017-07,119
2017-08,113
2017-09,92
2017-10,83
2017-11,100
2017-12,93
2018-01,87
2018-02,90
2018-03,109
2018-04,88
2018-05,101
2018-06,116
2018-07,93
2018-08,85
2018-09,74
2018-10,71
2018-11,68
2018-12,76
2019-01,95
2019-02,108
