date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,66
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,37
2011-06,34
2011-07,26
2011-08,40
2011-09,26
2011-10,40
2011-11,66
2011-12,52
2012-01,37
2012-02,31
2012-03,47
2012-04,69
2012-05,69
2012-06,72
2012-07,78
2012-08,72
2012-09,131
2012-10,102
2012-11,104
2012-12,113
2013-01,101
2013-02,117
2013-03,127
2013-04,126
2013-05,145
2013-06,176
2013-07,200
2013-08,210
2013-09,237
2013-10,212
2013-11,210
2013-12,240
2014-01,303
2014-02,206
2014-03,255
2014-04,342
2014-05,280
2014-06,288
2014-07,454
2014-08,405
2014-09,393
2014-10,383
2014-11,338
2014-12,351
2015-01,471
2015-02,384
2015-03,469
2015-04,391
2015-05,396
2015-06,425
2015-07,468
2015-08,450
2015-09,427
2015-10,430
2015-11,437
2015-12,427
2016-01,499
2016-02,543
2016-03,596
2016-04,602
2016-05,581
2016-06,549
2016-07,539
2016-08,576
2016-09,515
2016-10,534
2016-11,479
2016-12,499
2017-01,565
2017-02,557
2017-03,659
2017-04,513
2017-05,591
2017-06,578
2017-07,659
2017-08,615
2017-09,548
2017-10,621
2017-11,656
2017-12,533
2018-01,549
2018-02,592
2018-03,643
2018-04,661
2018-05,677
2018-06,712
2018-07,738
2018-08,751
2018-09,706
2018-10,863
2018-11,775
2018-12,680
2019-01,717
2019-02,768
