date,count
2008-08,0
2008-09,0
2008-10,29
2008-11,0
2008-12,21
2009-01,0
2009-02,21
2009-03,30
2009-04,30
2009-05,33
2009-06,45
2009-07,36
2009-08,52
2009-09,57
2009-10,53
2009-11,36
2009-12,50
2010-01,63
2010-02,59
2010-03,64
2010-04,71
2010-05,79
2010-06,93
2010-07,56
2010-08,59
2010-09,97
2010-10,101
2010-11,82
2010-12,68
2011-01,97
2011-02,124
2011-03,158
2011-04,111
2011-05,159
2011-06,190
2011-07,148
2011-08,157
2011-09,154
2011-10,161
2011-11,179
2011-12,147
2012-01,175
2012-02,187
2012-03,172
2012-04,150
2012-05,160
2012-06,154
2012-07,201
2012-08,154
2012-09,120
2012-10,137
2012-11,160
2012-12,180
2013-01,193
2013-02,147
2013-03,173
2013-04,168
2013-05,159
2013-06,169
2013-07,177
2013-08,181
2013-09,191
2013-10,229
2013-11,207
2013-12,176
2014-01,219
2014-02,219
2014-03,270
2014-04,241
2014-05,245
2014-06,235
2014-07,309
2014-08,298
2014-09,277
2014-10,307
2014-11,225
2014-12,247
2015-01,226
2015-02,221
2015-03,278
2015-04,200
2015-05,188
2015-06,215
2015-07,292
2015-08,210
2015-09,225
2015-10,238
2015-11,224
2015-12,183
2016-01,194
2016-02,238
2016-03,281
2016-04,254
2016-05,203
2016-06,236
2016-07,226
2016-08,266
2016-09,254
2016-10,241
2016-11,215
2016-12,183
2017-01,242
2017-02,248
2017-03,277
2017-04,260
2017-05,301
2017-06,272
2017-07,251
2017-08,285
2017-09,239
2017-10,297
2017-11,287
2017-12,236
2018-01,249
2018-02,222
2018-03,253
2018-04,267
2018-05,276
2018-06,252
2018-07,223
2018-08,277
2018-09,240
2018-10,239
2018-11,229
2018-12,174
2019-01,234
2019-02,245
