date,count
2008-11,22
2008-12,25
2009-01,23
2009-04,27
2009-05,47
2009-06,44
2009-07,33
2009-08,48
2009-09,48
2009-10,54
2009-11,82
2009-12,74
2010-01,61
2010-02,92
2010-03,92
2010-04,83
2010-05,118
2010-06,109
2010-07,126
2010-08,99
2010-09,111
2010-10,146
2010-11,156
2010-12,154
2011-01,134
2011-02,168
2011-03,238
2011-04,267
2011-05,317
2011-06,280
2011-07,249
2011-08,227
2011-09,271
2011-10,326
2011-11,323
2011-12,332
2012-01,353
2012-02,383
2012-03,365
2012-04,379
2012-05,332
2012-06,312
2012-07,340
2012-08,282
2012-09,326
2012-10,419
2012-11,390
2012-12,335
2013-01,353
2013-02,380
2013-03,426
2013-04,418
2013-05,350
2013-06,322
2013-07,302
2013-08,325
2013-09,366
2013-10,520
2013-11,489
2013-12,447
2014-01,480
2014-02,473
2014-03,548
2014-04,503
2014-05,549
2014-06,424
2014-07,465
2014-08,431
2014-09,412
2014-10,540
2014-11,586
2014-12,539
2015-01,501
2015-02,418
2015-03,550
2015-04,484
2015-05,476
2015-06,389
2015-07,429
2015-08,396
2015-09,466
2015-10,547
2015-11,456
2015-12,430
2016-01,403
2016-02,438
2016-03,523
2016-04,564
2016-05,518
2016-06,348
2016-07,335
2016-08,402
2016-09,390
2016-10,419
2016-11,412
2016-12,390
2017-01,427
2017-02,422
2017-03,436
2017-04,374
2017-05,427
2017-06,346
2017-07,335
2017-08,357
2017-09,389
2017-10,422
2017-11,468
2017-12,375
2018-01,349
2018-02,334
2018-03,453
2018-04,393
2018-05,334
2018-06,314
2018-07,280
2018-08,280
2018-09,302
2018-10,372
2018-11,347
2018-12,329
2019-01,300
2019-02,277
