date,count
2008-08,111
2008-09,328
2008-10,330
2008-11,326
2008-12,305
2009-01,408
2009-02,474
2009-03,520
2009-04,521
2009-05,669
2009-06,748
2009-07,960
2009-08,973
2009-09,916
2009-10,973
2009-11,1093
2009-12,1122
2010-01,1394
2010-02,1279
2010-03,1438
2010-04,1446
2010-05,1488
2010-06,1634
2010-07,1969
2010-08,2016
2010-09,1893
2010-10,1870
2010-11,2128
2010-12,2373
2011-01,2733
2011-02,2646
2011-03,3545
2011-04,3216
2011-05,3428
2011-06,3524
2011-07,3837
2011-08,3974
2011-09,3664
2011-10,3673
2011-11,3901
2011-12,3782
2012-01,4328
2012-02,4645
2012-03,4832
2012-04,4825
2012-05,5218
2012-06,5154
2012-07,5943
2012-08,5916
2012-09,5451
2012-10,5714
2012-11,5903
2012-12,5811
2013-01,6664
2013-02,6514
2013-03,7575
2013-04,7523
2013-05,7287
2013-06,7240
2013-07,8445
2013-08,8619
2013-09,9147
2013-10,9958
2013-11,9376
2013-12,9384
2014-01,11270
2014-02,10858
2014-03,11859
2014-04,11232
2014-05,10249
2014-06,9092
2014-07,9983
2014-08,9271
2014-09,8990
2014-10,9299
2014-11,9000
2014-12,8297
2015-01,9184
2015-02,9149
2015-03,10239
2015-04,10172
2015-05,10539
2015-06,10610
2015-07,10972
2015-08,10162
2015-09,9914
2015-10,10006
2015-11,9609
2015-12,9566
2016-01,9876
2016-02,10265
2016-03,10626
2016-04,10390
2016-05,10413
2016-06,9865
2016-07,9853
2016-08,10171
2016-09,9117
2016-10,9172
2016-11,9278
2016-12,8796
2017-01,9554
2017-02,9741
2017-03,10769
2017-04,9575
2017-05,9936
2017-06,9471
2017-07,9455
2017-08,9326
2017-09,7979
2017-10,8378
2017-11,8374
2017-12,7121
2018-01,7699
2018-02,7112
2018-03,8512
2018-04,8034
2018-05,8126
2018-06,7557
2018-07,7935
2018-08,7609
2018-09,6857
2018-10,7505
2018-11,6766
2018-12,6217
2019-01,6926
2019-02,7475
