date,count
2008-08,219
2008-09,1139
2008-10,1152
2008-11,960
2008-12,833
2009-01,1153
2009-02,1207
2009-03,1442
2009-04,1535
2009-05,1823
2009-06,2117
2009-07,2268
2009-08,2194
2009-09,2266
2009-10,2510
2009-11,2765
2009-12,2691
2010-01,3732
2010-02,3585
2010-03,4452
2010-04,3898
2010-05,4183
2010-06,4297
2010-07,4526
2010-08,4718
2010-09,4724
2010-10,5040
2010-11,5612
2010-12,5689
2011-01,6569
2011-02,6911
2011-03,8527
2011-04,7941
2011-05,8605
2011-06,7958
2011-07,8195
2011-08,8730
2011-09,8366
2011-10,8592
2011-11,9689
2011-12,9256
2012-01,10209
2012-02,11071
2012-03,12519
2012-04,12141
2012-05,12285
2012-06,11186
2012-07,12330
2012-08,12311
2012-09,11670
2012-10,13561
2012-11,13674
2012-12,12479
2013-01,13808
2013-02,13884
2013-03,16057
2013-04,16372
2013-05,15442
2013-06,14075
2013-07,15311
2013-08,15148
2013-09,16359
2013-10,18879
2013-11,18881
2013-12,17573
2014-01,18813
2014-02,19426
2014-03,22175
2014-04,21068
2014-05,18129
2014-06,16059
2014-07,17518
2014-08,15853
2014-09,16866
2014-10,18059
2014-11,18003
2014-12,16525
2015-01,16685
2015-02,16880
2015-03,19895
2015-04,19929
2015-05,18665
2015-06,17965
2015-07,18806
2015-08,17186
2015-09,17056
2015-10,18648
2015-11,17902
2015-12,16659
2016-01,16741
2016-02,17963
2016-03,20052
2016-04,19622
2016-05,17186
2016-06,16040
2016-07,15055
2016-08,15285
2016-09,14785
2016-10,15451
2016-11,15765
2016-12,13943
2017-01,14670
2017-02,14671
2017-03,17455
2017-04,16046
2017-05,16475
2017-06,14735
2017-07,14268
2017-08,13824
2017-09,12870
2017-10,14131
2017-11,14333
2017-12,12113
2018-01,12446
2018-02,12294
2018-03,15375
2018-04,15337
2018-05,15466
2018-06,13446
2018-07,13577
2018-08,12909
2018-09,12356
2018-10,14556
2018-11,13632
2018-12,12155
2019-01,13034
2019-02,14453
