date,count
2008-08,161
2008-09,639
2008-10,726
2008-11,579
2008-12,627
2009-01,792
2009-02,949
2009-03,1005
2009-04,1049
2009-05,1431
2009-06,1557
2009-07,1750
2009-08,1858
2009-09,1748
2009-10,2041
2009-11,2228
2009-12,2304
2010-01,2618
2010-02,2633
2010-03,2985
2010-04,3003
2010-05,3214
2010-06,3464
2010-07,3864
2010-08,3994
2010-09,3992
2010-10,4122
2010-11,4541
2010-12,4953
2011-01,5454
2011-02,5615
2011-03,6778
2011-04,6916
2011-05,7326
2011-06,7708
2011-07,8131
2011-08,8933
2011-09,8230
2011-10,8070
2011-11,8717
2011-12,8366
2012-01,9639
2012-02,10057
2012-03,10774
2012-04,10750
2012-05,11596
2012-06,11312
2012-07,12397
2012-08,12485
2012-09,11198
2012-10,12459
2012-11,12372
2012-12,11769
2013-01,13877
2013-02,13835
2013-03,15444
2013-04,15478
2013-05,15147
2013-06,14700
2013-07,16949
2013-08,16933
2013-09,17847
2013-10,19876
2013-11,18627
2013-12,18143
2014-01,21262
2014-02,21315
2014-03,22857
2014-04,21627
2014-05,19982
2014-06,18485
2014-07,20313
2014-08,18630
2014-09,18267
2014-10,19068
2014-11,18128
2014-12,17141
2015-01,18670
2015-02,18779
2015-03,20665
2015-04,21040
2015-05,22285
2015-06,22730
2015-07,24118
2015-08,22260
2015-09,21546
2015-10,21948
2015-11,21394
2015-12,21209
2016-01,22656
2016-02,22599
2016-03,24233
2016-04,23579
2016-05,23126
2016-06,22293
2016-07,22313
2016-08,22801
2016-09,20558
2016-10,20572
2016-11,20645
2016-12,19920
2017-01,21523
2017-02,21284
2017-03,23822
2017-04,21369
2017-05,22521
2017-06,21699
2017-07,21742
2017-08,21496
2017-09,19126
2017-10,20016
2017-11,19557
2017-12,17129
2018-01,19109
2018-02,17554
2018-03,21362
2018-04,20172
2018-05,20347
2018-06,19562
2018-07,20026
2018-08,20134
2018-09,18115
2018-10,19781
2018-11,18501
2018-12,16292
2019-01,18280
2019-02,19539
