date,count
2008-08,28
2008-09,137
2008-10,259
2008-11,263
2008-12,263
2009-01,383
2009-02,506
2009-03,573
2009-04,703
2009-05,951
2009-06,1167
2009-07,1390
2009-08,1626
2009-09,1642
2009-10,1802
2009-11,1831
2009-12,1903
2010-01,2341
2010-02,2339
2010-03,2911
2010-04,2761
2010-05,2782
2010-06,3082
2010-07,3524
2010-08,3795
2010-09,3676
2010-10,3774
2010-11,4070
2010-12,4250
2011-01,4925
2011-02,5070
2011-03,6294
2011-04,6231
2011-05,6625
2011-06,6635
2011-07,7305
2011-08,7788
2011-09,7176
2011-10,7197
2011-11,7541
2011-12,7459
2012-01,8266
2012-02,8958
2012-03,9318
2012-04,9011
2012-05,9802
2012-06,9498
2012-07,10208
2012-08,10390
2012-09,9250
2012-10,10287
2012-11,10170
2012-12,9367
2013-01,11103
2013-02,10868
2013-03,12389
2013-04,12198
2013-05,11857
2013-06,11577
2013-07,12829
2013-08,12845
2013-09,13027
2013-10,13856
2013-11,12485
2013-12,12120
2014-01,13867
2014-02,13673
2014-03,14456
2014-04,13678
2014-05,12382
2014-06,11352
2014-07,12156
2014-08,11271
2014-09,10939
2014-10,10871
2014-11,10270
2014-12,9385
2015-01,9990
2015-02,10077
2015-03,11257
2015-04,11116
2015-05,11406
2015-06,11538
2015-07,11721
2015-08,11014
2015-09,10608
2015-10,10656
2015-11,9811
2015-12,9636
2016-01,10188
2016-02,10300
2016-03,10433
2016-04,10046
2016-05,9931
2016-06,9135
2016-07,9396
2016-08,9467
2016-09,8553
2016-10,8275
2016-11,8362
2016-12,8152
2017-01,8436
2017-02,8408
2017-03,9413
2017-04,8141
2017-05,8542
2017-06,8136
2017-07,7899
2017-08,7831
2017-09,6813
2017-10,6840
2017-11,6713
2017-12,5680
2018-01,6090
2018-02,5283
2018-03,6249
2018-04,5586
2018-05,5542
2018-06,5135
2018-07,5253
2018-08,5309
2018-09,4544
2018-10,4775
2018-11,4358
2018-12,3752
2019-01,4183
2019-02,4381
