date,count
2014-01,28
2014-02,40
2014-03,48
2014-04,38
2014-05,38
2014-06,42
2014-07,63
2014-08,45
2014-09,51
2014-10,50
2014-11,58
2014-12,42
2015-01,49
2015-02,61
2015-03,72
2015-04,55
2015-05,74
2015-06,73
2015-07,61
2015-08,56
2015-09,65
2015-10,85
2015-11,76
2015-12,61
2016-01,75
2016-02,94
2016-03,87
2016-04,94
2016-05,101
2016-06,86
2016-07,100
2016-08,91
2016-09,106
2016-10,97
2016-11,94
2016-12,76
2017-01,91
2017-02,76
2017-03,96
2017-04,79
2017-05,90
2017-06,100
2017-07,91
2017-08,81
2017-09,94
2017-10,104
2017-11,104
2017-12,73
2018-01,94
2018-02,86
2018-03,83
2018-04,105
2018-05,78
2018-06,115
2018-07,68
2018-08,159
2018-09,149
2018-10,135
2018-11,101
2018-12,80
2019-01,90
2019-02,100
