date,count
2015-02,32
2015-03,24
2015-04,31
2015-06,31
2015-07,28
2015-10,58
2015-11,81
2015-12,71
2016-01,89
2016-02,128
2016-03,133
2016-04,103
2016-05,103
2016-06,103
2016-07,82
2016-08,85
2016-09,107
2016-10,110
2016-11,135
2016-12,106
2017-01,144
2017-02,122
2017-03,181
2017-04,144
2017-05,386
2017-06,557
2017-07,520
2017-08,572
2017-09,498
2017-10,599
2017-11,707
2017-12,587
2018-01,657
2018-02,643
2018-03,852
2018-04,854
2018-05,879
2018-06,850
2018-07,969
2018-08,1008
2018-09,945
2018-10,1141
2018-11,1103
2018-12,973
2019-01,1184
2019-02,1147
