date,count
2008-09,41
2008-10,22
2009-01,23
2009-02,22
2009-06,35
2009-07,31
2009-08,24
2009-09,30
2009-10,29
2009-11,34
2009-12,37
2010-01,34
2010-02,34
2010-03,29
2010-04,24
2010-05,24
2010-06,29
2010-07,43
2010-08,53
2010-09,56
2010-10,59
2010-11,71
2010-12,54
2011-01,44
2011-02,60
2011-03,62
2011-04,54
2011-05,51
2011-06,47
2011-07,27
2011-08,30
2011-09,53
2011-10,45
2011-11,61
2011-12,71
2012-01,60
2012-02,77
2012-03,62
2012-04,58
2012-05,54
2012-06,51
2012-07,59
2012-08,40
2012-09,62
2012-10,66
2012-11,84
2012-12,55
2013-01,41
2013-02,59
2013-03,58
2013-04,82
2013-05,68
2013-06,57
2013-07,57
2013-08,52
2013-09,59
2013-10,87
2013-11,103
2013-12,68
2014-01,54
2014-02,38
2014-03,61
2014-04,52
2014-05,47
2014-06,44
2014-07,36
2014-08,32
2014-09,51
2014-10,52
2014-11,80
2014-12,55
2015-01,46
2015-02,48
2015-03,59
2015-04,55
2015-05,43
2015-06,29
2015-07,38
2015-08,31
2015-09,33
2015-10,63
2015-11,62
2015-12,49
2016-01,56
2016-02,63
2016-03,59
2016-04,54
2016-05,48
2016-06,28
2016-07,48
2016-08,35
2016-09,35
2016-10,61
2016-11,66
2016-12,58
2017-01,47
2017-02,54
2017-03,45
2017-04,56
2017-05,32
2017-06,31
2017-07,30
2017-09,25
2017-10,47
2017-11,34
2017-12,34
2018-01,42
2018-02,27
2018-03,39
2018-04,27
2018-05,24
2018-06,25
2018-09,21
2018-10,42
2018-11,24
2018-12,33
2019-01,27
2019-02,38
