date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,24
2009-07,0
2009-08,31
2009-09,27
2009-10,0
2009-11,29
2009-12,25
2010-01,23
2010-02,22
2010-03,30
2010-04,36
2010-05,65
2010-06,42
2010-07,34
2010-08,41
2010-09,41
2010-10,39
2010-11,38
2010-12,56
2011-01,58
2011-02,75
2011-03,66
2011-04,78
2011-05,111
2011-06,92
2011-07,83
2011-08,83
2011-09,76
2011-10,62
2011-11,62
2011-12,82
2012-01,90
2012-02,103
2012-03,84
2012-04,110
2012-05,126
2012-06,115
2012-07,144
2012-08,134
2012-09,122
2012-10,100
2012-11,90
2012-12,76
2013-01,126
2013-02,117
2013-03,172
2013-04,177
2013-05,180
2013-06,156
2013-07,200
2013-08,187
2013-09,179
2013-10,200
2013-11,198
2013-12,188
2014-01,182
2014-02,225
2014-03,231
2014-04,229
2014-05,232
2014-06,203
2014-07,195
2014-08,194
2014-09,170
2014-10,192
2014-11,153
2014-12,142
2015-01,164
2015-02,175
2015-03,171
2015-04,187
2015-05,167
2015-06,145
2015-07,193
2015-08,162
2015-09,165
2015-10,159
2015-11,150
2015-12,169
2016-01,186
2016-02,173
2016-03,212
2016-04,192
2016-05,189
2016-06,174
2016-07,191
2016-08,171
2016-09,168
2016-10,139
2016-11,171
2016-12,147
2017-01,165
2017-02,146
2017-03,161
2017-04,192
2017-05,163
2017-06,133
2017-07,148
2017-08,125
2017-09,121
2017-10,118
2017-11,107
2017-12,117
2018-01,106
2018-02,133
2018-03,159
2018-04,117
2018-05,169
2018-06,151
2018-07,201
2018-08,136
2018-09,124
2018-10,132
2018-11,125
2018-12,119
2019-01,133
2019-02,121
