date,count
2008-10,21
2009-02,27
2009-03,23
2009-04,32
2009-05,42
2009-06,44
2009-07,39
2009-08,34
2009-09,51
2009-10,71
2009-11,117
2009-12,101
2010-01,93
2010-02,111
2010-03,123
2010-04,186
2010-05,207
2010-06,146
2010-07,152
2010-08,140
2010-09,165
2010-10,162
2010-11,156
2010-12,179
2011-01,178
2011-02,291
2011-03,431
2011-04,382
2011-05,305
2011-06,313
2011-07,286
2011-08,258
2011-09,267
2011-10,401
2011-11,433
2011-12,389
2012-01,460
2012-02,558
2012-03,579
2012-04,623
2012-05,542
2012-06,524
2012-07,561
2012-08,599
2012-09,553
2012-10,755
2012-11,847
2012-12,673
2013-01,727
2013-02,814
2013-03,999
2013-04,1057
2013-05,1023
2013-06,904
2013-07,997
2013-08,915
2013-09,899
2013-10,1115
2013-11,1208
2013-12,1059
2014-01,1119
2014-02,1243
2014-03,1433
2014-04,1421
2014-05,1262
2014-06,1036
2014-07,1113
2014-08,926
2014-09,1076
2014-10,1237
2014-11,1239
2014-12,1011
2015-01,1018
2015-02,1195
2015-03,1391
2015-04,1532
2015-05,1403
2015-06,1224
2015-07,1130
2015-08,1026
2015-09,943
2015-10,1062
2015-11,1124
2015-12,879
2016-01,935
2016-02,1079
2016-03,1247
2016-04,1125
2016-05,1144
2016-06,997
2016-07,905
2016-08,938
2016-09,849
2016-10,900
2016-11,780
2016-12,735
2017-01,793
2017-02,852
2017-03,1081
2017-04,958
2017-05,1000
2017-06,803
2017-07,732
2017-08,723
2017-09,580
2017-10,703
2017-11,753
2017-12,505
2018-01,583
2018-02,552
2018-03,692
2018-04,713
2018-05,642
2018-06,534
2018-07,540
2018-08,473
2018-09,495
2018-10,605
2018-11,595
2018-12,496
2019-01,484
2019-02,534
