date,count
2008-09,51
2008-10,91
2008-11,107
2008-12,121
2009-01,143
2009-02,208
2009-03,289
2009-04,358
2009-05,500
2009-06,494
2009-07,679
2009-08,696
2009-09,693
2009-10,745
2009-11,758
2009-12,780
2010-01,990
2010-02,1008
2010-03,1128
2010-04,1154
2010-05,1305
2010-06,1436
2010-07,1937
2010-08,1876
2010-09,1651
2010-10,1737
2010-11,1833
2010-12,1837
2011-01,2184
2011-02,2447
2011-03,3066
2011-04,3257
2011-05,3514
2011-06,3372
2011-07,3739
2011-08,3865
2011-09,3313
2011-10,3286
2011-11,3593
2011-12,3339
2012-01,3787
2012-02,3884
2012-03,3861
2012-04,3949
2012-05,3909
2012-06,3829
2012-07,4337
2012-08,4227
2012-09,3410
2012-10,4141
2012-11,3874
2012-12,3738
2013-01,4105
2013-02,3954
2013-03,4452
2013-04,4103
2013-05,3851
2013-06,3396
2013-07,3789
2013-08,3562
2013-09,3967
2013-10,4479
2013-11,4050
2013-12,4018
2014-01,4425
2014-02,4604
2014-03,5041
2014-04,4691
2014-05,4197
2014-06,3766
2014-07,4205
2014-08,3724
2014-09,3771
2014-10,3707
2014-11,3291
2014-12,3057
2015-01,3016
2015-02,3190
2015-03,3302
2015-04,3396
2015-05,3142
2015-06,3138
2015-07,3330
2015-08,2996
2015-09,2889
2015-10,2843
2015-11,2349
2015-12,2272
2016-01,2374
2016-02,2345
2016-03,2291
2016-04,2228
2016-05,2005
2016-06,2095
2016-07,1882
2016-08,1827
2016-09,1689
2016-10,1643
2016-11,1572
2016-12,1507
2017-01,1470
2017-02,1348
2017-03,1457
2017-04,1150
2017-05,1192
2017-06,1233
2017-07,1114
2017-08,998
2017-09,898
2017-10,867
2017-11,815
2017-12,643
2018-01,672
2018-02,607
2018-03,717
2018-04,648
2018-05,668
2018-06,568
2018-07,626
2018-08,560
2018-09,490
2018-10,492
2018-11,396
2018-12,341
2019-01,405
2019-02,403
