date,count
2008-08,28
2008-09,133
2008-10,128
2008-11,97
2008-12,134
2009-01,147
2009-02,164
2009-03,139
2009-04,161
2009-05,197
2009-06,247
2009-07,259
2009-08,252
2009-09,250
2009-10,282
2009-11,323
2009-12,262
2010-01,302
2010-02,348
2010-03,393
2010-04,367
2010-05,288
2010-06,412
2010-07,439
2010-08,548
2010-09,461
2010-10,500
2010-11,467
2010-12,502
2011-01,483
2011-02,485
2011-03,605
2011-04,556
2011-05,582
2011-06,570
2011-07,661
2011-08,619
2011-09,500
2011-10,559
2011-11,612
2011-12,543
2012-01,571
2012-02,617
2012-03,610
2012-04,603
2012-05,653
2012-06,745
2012-07,668
2012-08,769
2012-09,671
2012-10,696
2012-11,641
2012-12,559
2013-01,670
2013-02,761
2013-03,866
2013-04,856
2013-05,922
2013-06,852
2013-07,987
2013-08,855
2013-09,707
2013-10,840
2013-11,840
2013-12,785
2014-01,825
2014-02,816
2014-03,940
2014-04,844
2014-05,820
2014-06,705
2014-07,755
2014-08,701
2014-09,699
2014-10,659
2014-11,666
2014-12,579
2015-01,606
2015-02,574
2015-03,667
2015-04,589
2015-05,539
2015-06,593
2015-07,591
2015-08,568
2015-09,487
2015-10,517
2015-11,477
2015-12,489
2016-01,464
2016-02,515
2016-03,484
2016-04,507
2016-05,502
2016-06,454
2016-07,441
2016-08,472
2016-09,477
2016-10,419
2016-11,389
2016-12,353
2017-01,348
2017-02,420
2017-03,430
2017-04,377
2017-05,364
2017-06,332
2017-07,340
2017-08,367
2017-09,319
2017-10,346
2017-11,280
2017-12,251
2018-01,255
2018-02,245
2018-03,309
2018-04,269
2018-05,261
2018-06,260
2018-07,264
2018-08,242
2018-09,226
2018-10,302
2018-11,248
2018-12,238
2019-01,279
2019-02,285
