date,count
2008-08,162
2008-09,483
2008-10,620
2008-11,504
2008-12,480
2009-01,637
2009-02,770
2009-03,906
2009-04,968
2009-05,1184
2009-06,1581
2009-07,2036
2009-08,2190
2009-09,2270
2009-10,2369
2009-11,2693
2009-12,2832
2010-01,3446
2010-02,3171
2010-03,3759
2010-04,3658
2010-05,3997
2010-06,4102
2010-07,4617
2010-08,5163
2010-09,4707
2010-10,4537
2010-11,5132
2010-12,5411
2011-01,6464
2011-02,6755
2011-03,8174
2011-04,7711
2011-05,8151
2011-06,8096
2011-07,8765
2011-08,9006
2011-09,8146
2011-10,8145
2011-11,8766
2011-12,8417
2012-01,9410
2012-02,10057
2012-03,11038
2012-04,10549
2012-05,11060
2012-06,10686
2012-07,11881
2012-08,12002
2012-09,11072
2012-10,11895
2012-11,11876
2012-12,11162
2013-01,13025
2013-02,12816
2013-03,14388
2013-04,13632
2013-05,13341
2013-06,12924
2013-07,14548
2013-08,14516
2013-09,14454
2013-10,15562
2013-11,15118
2013-12,14637
2014-01,17096
2014-02,16836
2014-03,18674
2014-04,18033
2014-05,15067
2014-06,13290
2014-07,14553
2014-08,13447
2014-09,13592
2014-10,13858
2014-11,13260
2014-12,12585
2015-01,13852
2015-02,13688
2015-03,15152
2015-04,15202
2015-05,14789
2015-06,14575
2015-07,15602
2015-08,14452
2015-09,13733
2015-10,14121
2015-11,13521
2015-12,13961
2016-01,14783
2016-02,15137
2016-03,15351
2016-04,14712
2016-05,14654
2016-06,13855
2016-07,13101
2016-08,13046
2016-09,12310
2016-10,12438
2016-11,12123
2016-12,11639
2017-01,12806
2017-02,12695
2017-03,14291
2017-04,12632
2017-05,13253
2017-06,11978
2017-07,11997
2017-08,11837
2017-09,10871
2017-10,11016
2017-11,10761
2017-12,9303
2018-01,10320
2018-02,9399
2018-03,11014
2018-04,10072
2018-05,10715
2018-06,9634
2018-07,9759
2018-08,9616
2018-09,8748
2018-10,9373
2018-11,8380
2018-12,7278
2019-01,8490
2019-02,9820
