date,count
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,31
2009-12,37
2010-01,0
2010-02,23
2010-03,27
2010-04,22
2010-05,0
2010-06,0
2010-07,22
2010-08,0
2010-09,0
2010-10,42
2010-11,72
2010-12,52
2011-01,62
2011-02,44
2011-03,58
2011-04,68
2011-05,89
2011-06,59
2011-07,41
2011-08,22
2011-09,62
2011-10,63
2011-11,96
2011-12,69
2012-01,83
2012-02,49
2012-03,93
2012-04,144
2012-05,123
2012-06,47
2012-07,45
2012-08,45
2012-09,39
2012-10,98
2012-11,108
2012-12,123
2013-01,94
2013-02,87
2013-03,120
2013-04,194
2013-05,168
2013-06,89
2013-07,55
2013-08,31
2013-09,61
2013-10,117
2013-11,169
2013-12,148
2014-01,92
2014-02,91
2014-03,148
2014-04,166
2014-05,158
2014-06,89
2014-07,35
2014-08,57
2014-09,69
2014-10,124
2014-11,152
2014-12,173
2015-01,102
2015-02,103
2015-03,161
2015-04,118
2015-05,144
2015-06,100
2015-07,63
2015-08,32
2015-09,104
2015-10,146
2015-11,173
2015-12,153
2016-01,103
2016-02,84
2016-03,135
2016-04,141
2016-05,180
2016-06,71
2016-07,80
2016-08,38
2016-09,71
2016-10,109
2016-11,190
2016-12,147
2017-01,105
2017-02,100
2017-03,134
2017-04,136
2017-05,143
2017-06,67
2017-07,49
2017-08,25
2017-09,62
2017-10,121
2017-11,141
2017-12,134
2018-01,63
2018-02,72
2018-03,102
2018-04,139
2018-05,120
2018-06,101
2018-07,44
2018-08,56
2018-09,45
2018-10,100
2018-11,109
2018-12,132
2019-01,81
2019-02,77
