date,count
2008-08,124
2008-09,544
2008-10,512
2008-11,453
2008-12,441
2009-01,631
2009-02,631
2009-03,766
2009-04,768
2009-05,1003
2009-06,1046
2009-07,1164
2009-08,1142
2009-09,1169
2009-10,1424
2009-11,1560
2009-12,1591
2010-01,1951
2010-02,1873
2010-03,2073
2010-04,1817
2010-05,2013
2010-06,2208
2010-07,2601
2010-08,2496
2010-09,2254
2010-10,2669
2010-11,2617
2010-12,2487
2011-01,2912
2011-02,3020
2011-03,3762
2011-04,3351
2011-05,3533
2011-06,3484
2011-07,3684
2011-08,3841
2011-09,3525
2011-10,3637
2011-11,3886
2011-12,3633
2012-01,4225
2012-02,4515
2012-03,5067
2012-04,4948
2012-05,5131
2012-06,5293
2012-07,5747
2012-08,5876
2012-09,5270
2012-10,6153
2012-11,6405
2012-12,5769
2013-01,6603
2013-02,6791
2013-03,7680
2013-04,7975
2013-05,7854
2013-06,7637
2013-07,8655
2013-08,7975
2013-09,7998
2013-10,9537
2013-11,9533
2013-12,8493
2014-01,9880
2014-02,9943
2014-03,11480
2014-04,10836
2014-05,9325
2014-06,8961
2014-07,10001
2014-08,9159
2014-09,8826
2014-10,9646
2014-11,9635
2014-12,9097
2015-01,9743
2015-02,10242
2015-03,11674
2015-04,11517
2015-05,11275
2015-06,11869
2015-07,12382
2015-08,11282
2015-09,11024
2015-10,12551
2015-11,12367
2015-12,11699
2016-01,12412
2016-02,13316
2016-03,14153
2016-04,13749
2016-05,13196
2016-06,12982
2016-07,12911
2016-08,12973
2016-09,12410
2016-10,13582
2016-11,14265
2016-12,13116
2017-01,14360
2017-02,14867
2017-03,17239
2017-04,15730
2017-05,16262
2017-06,16124
2017-07,17018
2017-08,16563
2017-09,15562
2017-10,17069
2017-11,17096
2017-12,15054
2018-01,16350
2018-02,16617
2018-03,19921
2018-04,18954
2018-05,19501
2018-06,18807
2018-07,20025
2018-08,19716
2018-09,17839
2018-10,20377
2018-11,20361
2018-12,17815
2019-01,19228
2019-02,21892
