date,count
2009-07,51
2009-08,47
2009-09,139
2009-10,73
2009-11,94
2009-12,80
2010-01,94
2010-02,122
2010-03,139
2010-04,160
2010-05,139
2010-06,178
2010-07,234
2010-08,283
2010-09,236
2010-10,214
2010-11,242
2010-12,223
2011-01,250
2011-02,322
2011-03,423
2011-04,476
2011-05,428
2011-06,444
2011-07,454
2011-08,587
2011-09,612
2011-10,621
2011-11,608
2011-12,614
2012-01,690
2012-02,814
2012-03,892
2012-04,848
2012-05,882
2012-06,975
2012-07,1124
2012-08,1092
2012-09,1060
2012-10,1269
2012-11,1348
2012-12,1219
2013-01,1515
2013-02,1676
2013-03,1856
2013-04,1847
2013-05,1792
2013-06,1782
2013-07,1979
2013-08,1929
2013-09,1720
2013-10,2104
2013-11,2194
2013-12,1911
2014-01,2362
2014-02,2623
2014-03,2829
2014-04,2748
2014-05,2602
2014-06,2407
2014-07,2652
2014-08,2488
2014-09,2384
2014-10,2795
2014-11,2724
2014-12,2371
2015-01,2709
2015-02,2985
2015-03,3576
2015-04,3340
2015-05,3440
2015-06,3445
2015-07,3995
2015-08,3506
2015-09,3347
2015-10,3698
2015-11,3555
2015-12,3193
2016-01,3559
2016-02,3614
2016-03,4068
2016-04,4161
2016-05,3815
2016-06,3877
2016-07,3762
2016-08,3801
2016-09,3306
2016-10,3798
2016-11,3576
2016-12,3167
2017-01,3515
2017-02,3702
2017-03,4627
2017-04,4280
2017-05,4337
2017-06,4481
2017-07,4598
2017-08,4603
2017-09,4249
2017-10,4570
2017-11,4546
2017-12,3730
2018-01,4213
2018-02,4581
2018-03,5630
2018-04,5252
2018-05,5223
2018-06,5011
2018-07,4967
2018-08,4579
2018-09,4231
2018-10,4892
2018-11,4815
2018-12,3820
2019-01,4572
2019-02,5341
