date,count
2008-08,73
2008-09,291
2008-10,250
2008-11,160
2008-12,161
2009-01,209
2009-02,287
2009-03,330
2009-04,358
2009-05,403
2009-06,433
2009-07,501
2009-08,485
2009-09,476
2009-10,493
2009-11,655
2009-12,573
2010-01,687
2010-02,689
2010-03,696
2010-04,753
2010-05,776
2010-06,853
2010-07,910
2010-08,994
2010-09,940
2010-10,925
2010-11,930
2010-12,1023
2011-01,1207
2011-02,1255
2011-03,1640
2011-04,1478
2011-05,1567
2011-06,1564
2011-07,1591
2011-08,1870
2011-09,1555
2011-10,1619
2011-11,1742
2011-12,1696
2012-01,1918
2012-02,2052
2012-03,2204
2012-04,1990
2012-05,1987
2012-06,1897
2012-07,2075
2012-08,2073
2012-09,1957
2012-10,2266
2012-11,2136
2012-12,1909
2013-01,2313
2013-02,2242
2013-03,2574
2013-04,2476
2013-05,2356
2013-06,2229
2013-07,2450
2013-08,2492
2013-09,2401
2013-10,2795
2013-11,2578
2013-12,2456
2014-01,2776
2014-02,2620
2014-03,2958
2014-04,2755
2014-05,2686
2014-06,2342
2014-07,2568
2014-08,2482
2014-09,2284
2014-10,2350
2014-11,2120
2014-12,2159
2015-01,2437
2015-02,2267
2015-03,2468
2015-04,2510
2015-05,2514
2015-06,2582
2015-07,2590
2015-08,2326
2015-09,2171
2015-10,2201
2015-11,1966
2015-12,2034
2016-01,2151
2016-02,2251
2016-03,2271
2016-04,2222
2016-05,2133
2016-06,2119
2016-07,1910
2016-08,1889
2016-09,1934
2016-10,1831
2016-11,1767
2016-12,1641
2017-01,1828
2017-02,1636
2017-03,1793
2017-04,1492
2017-05,1524
2017-06,1423
2017-07,1529
2017-08,1400
2017-09,1226
2017-10,1304
2017-11,1180
2017-12,1024
2018-01,1169
2018-02,1039
2018-03,1141
2018-04,1058
2018-05,1100
2018-06,1081
2018-07,1017
2018-08,952
2018-09,860
2018-10,991
2018-11,903
2018-12,867
2019-01,977
2019-02,892
